pic,ans,cla,no,n,key_resp_for.keys_raw,key_resp_for.rt_mean,key_resp_for.rt_raw,key_resp_for.rt_std,order
pic/5.png,['num_5'],aa,1,1.0,'num_5',0.417483210564,0.41748321056365967,0.0,0.0
pic/5.png,['num_5'],aa,2,1.0,'num_5',0.385082304478,0.38508230447769165,0.0,1.0
pic/2.png,['num_2'],aa,3,1.0,'num_2',0.534842610359,0.5348426103591919,0.0,2.0
pic/2.png,['num_2'],aa,4,1.0,'num_2',0.518387198448,0.5183871984481812,0.0,3.0
pic/6.png,['num_6'],aa,5,1.0,'num_6',0.434888899326,0.43488889932632446,0.0,4.0
pic/6.png,['num_6'],aa,6,1.0,'num_6',0.468223214149,0.4682232141494751,0.0,5.0
pic/3.png,['num_3'],aa,7,1.0,'num_3',0.618580698967,0.61858069896698,0.0,6.0
pic/3.png,['num_3'],aa,8,1.0,'num_3',0.468428492546,0.46842849254608154,0.0,7.0
pic/7.png,['num_7'],aa,9,1.0,'num_7',0.618475794792,0.6184757947921753,0.0,8.0
pic/7.png,['num_7'],aa,10,1.0,'num_7',0.55148512125,0.5514851212501526,0.0,9.0
pic/8.png,['num_8'],huan,-1,1.0,'num_8',0.435219407082,0.435219407081604,0.0,10.0
pic/5.png,['num_5'],huan,-1,1.0,'num_5',0.568151891232,0.5681518912315369,0.0,11.0
pic/2.png,['num_2'],aaa,11,1.0,'num_2',0.618434309959,0.6184343099594116,0.0,12.0
pic/2.png,['num_2'],aaa,12,1.0,'num_2',0.418178290129,0.4181782901287079,0.0,13.0
pic/2.png,['num_2'],aaa,13,1.0,'num_2',0.435405999422,0.43540599942207336,0.0,14.0
pic/1.png,['num_1'],aaa,14,1.0,'num_1',0.51861000061,0.5186100006103516,0.0,15.0
pic/1.png,['num_1'],aaa,15,1.0,'num_1',0.435011208057,0.43501120805740356,0.0,16.0
pic/1.png,['num_1'],aaa,16,1.0,'num_1',0.384826987982,0.38482698798179626,0.0,17.0
pic/9.png,['num_9'],aaa,17,1.0,'num_9',0.735359311104,0.7353593111038208,0.0,18.0
pic/9.png,['num_9'],aaa,18,1.0,'num_9',0.468392908573,0.46839290857315063,0.0,19.0
pic/9.png,['num_9'],aaa,19,1.0,'num_9',0.384600013494,0.3846000134944916,0.0,20.0
pic/7.png,['num_7'],aaa,20,1.0,'num_7',0.701824724674,0.7018247246742249,0.0,21.0
pic/7.png,['num_7'],aaa,21,1.0,'num_7',0.401840388775,0.4018403887748718,0.0,22.0
pic/7.png,['num_7'],aaa,22,1.0,'num_7',0.384734094143,0.3847340941429138,0.0,23.0
pic/9.png,['num_9'],huan,-1,1.0,'num_9',0.468466490507,0.46846649050712585,0.0,24.0
pic/4.png,['num_4'],huan,-1,1.0,'num_4',0.585079908371,0.5850799083709717,0.0,25.0
pic/4.png,['num_4'],abb,23,1.0,'num_4',0.368408888578,0.3684088885784149,0.0,26.0
pic/5.png,['num_5'],abb,24,1.0,'num_5',0.635267496109,0.6352674961090088,0.0,27.0
