no,pic,cla,ans,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials_huan.thisRepN,trials_huan.thisTrialN,trials_huan.thisN,trials_huan.thisIndex,trials_baseline.thisRepN,trials_baseline.thisTrialN,trials_baseline.thisN,trials_baseline.thisIndex,trials_formal.thisRepN,trials_formal.thisTrialN,trials_formal.thisN,trials_formal.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_huan.keys,key_resp_huan.rt,key_resp_base.keys,key_resp_base.rt,key_resp_for.keys,key_resp_for.rt,date,frameRate,expName,session,participant,
8,pic/8.png,baseline,['num_8'],,,,,,,,,0,0,0,7,,,,,num_2,0,0.618079699998,num_9,0.517997899995,num_8,0.51636899999,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
13,pic/4.png,baseline,['num_4'],,,,,,,,,0,1,1,12,,,,,,,,,,num_4,0.451259900001,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
14,pic/5.png,baseline,['num_5'],,,,,,,,,0,2,2,13,,,,,,,,,,num_5,0.43459070001,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
5,pic/5.png,baseline,['num_5'],,,,,,,,,0,3,3,4,,,,,,,,,,num_5,0.484583800004,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
16,pic/7.png,baseline,['num_7'],,,,,,,,,0,4,4,15,,,,,,,,,,num_7,0.734751399999,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
12,pic/3.png,baseline,['num_3'],,,,,,,,,0,5,5,11,,,,,,,,,,num_3,0.634716999994,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
21,pic/3.png,baseline,['num_3'],,,,,,,,,0,6,6,20,,,,,,,,,,num_3,0.618022299997,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
6,pic/6.png,baseline,['num_6'],,,,,,,,,0,7,7,5,,,,,,,,,,num_6,0.517907899994,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
26,pic/8.png,baseline,['num_8'],,,,,,,,,0,8,8,25,,,,,,,,,,num_8,0.467809700014,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
22,pic/4.png,baseline,['num_4'],,,,,,,,,0,9,9,21,,,,,,,,,,num_4,0.401080700001,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
19,pic/1.png,baseline,['num_1'],,,,,,,,,0,10,10,18,,,,,,,,,,num_1,0.568017199999,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
10,pic/1.png,baseline,['num_1'],,,,,,,,,0,11,11,9,,,,,,,,,,num_1,0.584746099994,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
2,pic/2.png,baseline,['num_2'],,,,,,,,,0,12,12,1,,,,,,,,,,num_2,0.768335100001,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
25,pic/7.png,baseline,['num_7'],,,,,,,,,0,13,13,24,,,,,,,,,,num_7,0.501288999993,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
18,pic/9.png,baseline,['num_9'],,,,,,,,,0,14,14,17,,,,,,,,,,num_9,0.551534400001,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
24,pic/6.png,baseline,['num_6'],,,,,,,,,0,15,15,23,,,,,,,,,,num_6,0.434538800007,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
1,pic/1.png,baseline,['num_1'],,,,,,,,,0,16,16,0,,,,,,,,,,num_1,0.451005700001,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
3,pic/3.png,baseline,['num_3'],,,,,,,,,0,17,17,2,,,,,,,,,,num_3,0.568461000003,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
15,pic/6.png,baseline,['num_6'],,,,,,,,,0,18,18,14,,,,,,,,,,num_6,0.568275999991,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
4,pic/4.png,baseline,['num_4'],,,,,,,,,0,19,19,3,,,,,,,,,,num_4,0.434412900009,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
11,pic/2.png,baseline,['num_2'],,,,,,,,,0,20,20,10,,,,,,,,,,num_2,0.551273799996,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
20,pic/2.png,baseline,['num_2'],,,,,,,,,0,21,21,19,,,,,,,,,,num_2,0.418190900004,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
27,pic/9.png,baseline,['num_9'],,,,,,,,,0,22,22,26,,,,,,,,,,num_9,0.567993299992,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
17,pic/8.png,baseline,['num_8'],,,,,,,,,0,23,23,16,,,,,,,,,,num_8,0.551298400009,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
9,pic/9.png,baseline,['num_9'],,,,,,,,,0,24,24,8,,,,,,,,,,num_9,0.567954500002,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
23,pic/5.png,baseline,['num_5'],,,,,,,,,0,25,25,22,,,,,,,,,,num_5,0.51794450001,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
7,pic/7.png,baseline,['num_7'],,,,,,,,,0,26,26,6,,,,,,,,,,num_7,0.517983999991,,,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
1,pic/3.png,aa,['num_3'],,,,,,,,,,,,,0,0,0,0,,,,,,,,num_3,0.534856500002,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
2,pic/3.png,aa,['num_3'],,,,,,,,,,,,,0,1,1,1,,,,,,,,num_3,0.601282200005,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
3,pic/7.png,aa,['num_7'],,,,,,,,,,,,,0,2,2,2,,,,,,,,num_7,0.484607399994,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
4,pic/7.png,aa,['num_7'],,,,,,,,,,,,,0,3,3,3,,,,,,,,num_7,0.501268199994,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
5,pic/9.png,aa,['num_9'],,,,,,,,,,,,,0,4,4,4,,,,,,,,num_9,0.568135299996,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
6,pic/9.png,aa,['num_9'],,,,,,,,,,,,,0,5,5,5,,,,,,,,num_9,0.534662899998,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
7,pic/6.png,aa,['num_6'],,,,,,,,,,,,,0,6,6,6,,,,,,,,num_6,0.501260399993,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
8,pic/6.png,aa,['num_6'],,,,,,,,,,,,,0,7,7,7,,,,,,,,num_6,0.417893499995,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
9,pic/1.png,aa,['num_1'],,,,,,,,,,,,,0,8,8,8,,,,,,,,num_1,0.551366600004,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
10,pic/1.png,aa,['num_1'],,,,,,,,,,,,,0,9,9,9,,,,,,,,num_1,0.601393399993,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
-1,pic/8.png,huan,['num_8'],,,,,,,,,,,,,0,10,10,10,,,,,,,,num_8,0.501252599992,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
-1,pic/4.png,huan,['num_4'],,,,,,,,,,,,,0,11,11,11,,,,,,,,num_4,0.484124900002,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
11,pic/9.png,aaa,['num_9'],,,,,,,,,,,,,0,12,12,12,,,,,,,,num_9,0.517943400002,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
12,pic/9.png,aaa,['num_9'],,,,,,,,,,,,,0,13,13,13,,,,,,,,num_9,0.50123390001,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
13,pic/9.png,aaa,['num_9'],,,,,,,,,,,,,0,14,14,14,,,,,,,,num_9,0.484575499999,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
14,pic/7.png,aaa,['num_7'],,,,,,,,,,,,,0,15,15,15,,,,,,,,num_7,0.601979800005,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
15,pic/7.png,aaa,['num_7'],,,,,,,,,,,,,0,16,16,16,,,,,,,,num_7,0.484668900011,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
16,pic/7.png,aaa,['num_7'],,,,,,,,,,,,,0,17,17,17,,,,,,,,num_7,0.401134400003,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
17,pic/2.png,aaa,['num_2'],,,,,,,,,,,,,0,18,18,18,,,,,,,,num_2,1.9360533,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
18,pic/2.png,aaa,['num_2'],,,,,,,,,,,,,0,19,19,19,,,,,,,,num_2,0.551718999996,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
19,pic/2.png,aaa,['num_2'],,,,,,,,,,,,,0,20,20,20,,,,,,,,num_2,0.367870200003,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
20,pic/5.png,aaa,['num_5'],,,,,,,,,,,,,0,21,21,21,,,,,,,,num_5,0.601782500002,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
21,pic/5.png,aaa,['num_5'],,,,,,,,,,,,,0,22,22,22,,,,,,,,num_5,0.4845909,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
22,pic/5.png,aaa,['num_5'],,,,,,,,,,,,,0,23,23,23,,,,,,,,num_5,0.434688199995,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
-1,pic/8.png,huan,['num_8'],,,,,,,,,,,,,0,24,24,24,,,,,,,,num_8,0.534662399994,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
-1,pic/5.png,huan,['num_5'],,,,,,,,,,,,,0,25,25,25,,,,,,,,num_5,0.501256300005,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
23,pic/1.png,abb,['num_1'],,,,,,,,,,,,,0,26,26,26,,,,,,,,num_1,0.634661200005,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
24,pic/6.png,abb,['num_6'],,,,,,,,,,,,,0,27,27,27,,,,,,,,num_6,0.484733599995,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
25,pic/6.png,abb,['num_6'],,,,,,,,,,,,,0,28,28,28,,,,,,,,num_6,0.417879999994,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
26,pic/6.png,abb,['num_6'],,,,,,,,,,,,,0,29,29,29,,,,,,,,num_6,0.41781069999,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
27,pic/9.png,abb,['num_9'],,,,,,,,,,,,,0,30,30,30,,,,,,,,num_9,0.568004800007,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
28,pic/9.png,abb,['num_9'],,,,,,,,,,,,,0,31,31,31,,,,,,,,num_9,0.401113600004,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
29,pic/2.png,abb,['num_2'],,,,,,,,,,,,,0,32,32,32,,,,,,,,num_2,0.768569799999,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
30,pic/1.png,abb,['num_1'],,,,,,,,,,,,,0,33,33,33,,,,,,,,num_1,0.668071000007,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
31,pic/1.png,abb,['num_1'],,,,,,,,,,,,,0,34,34,34,,,,,,,,num_1,0.467893199995,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
32,pic/5.png,abb,['num_5'],,,,,,,,,,,,,0,35,35,35,,,,,,,,num_5,0.517976599993,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
33,pic/3.png,abb,['num_3'],,,,,,,,,,,,,0,36,36,36,,,,,,,,num_3,0.734820099999,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
34,pic/3.png,abb,['num_3'],,,,,,,,,,,,,0,37,37,37,,,,,,,,num_3,0.551158699993,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
35,pic/8.png,abb,['num_8'],,,,,,,,,,,,,0,38,38,38,,,,,,,,num_8,0.484614899993,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
36,pic/5.png,abb,['num_5'],,,,,,,,,,,,,0,39,39,39,,,,,,,,num_5,0.434556399996,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
37,pic/5.png,abb,['num_5'],,,,,,,,,,,,,0,40,40,40,,,,,,,,num_5,0.45090109999,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
38,pic/5.png,abb,['num_5'],,,,,,,,,,,,,0,41,41,41,,,,,,,,num_5,0.401207599993,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
39,pic/4.png,abb,['num_4'],,,,,,,,,,,,,0,42,42,42,,,,,,,,num_4,0.467889000007,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
40,pic/4.png,abb,['num_4'],,,,,,,,,,,,,0,43,43,43,,,,,,,,num_4,0.451071599993,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
41,pic/6.png,abb,['num_6'],,,,,,,,,,,,,0,44,44,44,,,,,,,,num_6,0.484599599993,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
42,pic/5.png,abb,['num_5'],,,,,,,,,,,,,0,45,45,45,,,,,,,,num_5,0.501280099998,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
43,pic/5.png,abb,['num_5'],,,,,,,,,,,,,0,46,46,46,,,,,,,,num_5,0.384591499998,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
44,pic/9.png,abb,['num_9'],,,,,,,,,,,,,0,47,47,47,,,,,,,,num_9,0.551370900008,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
45,pic/4.png,abb,['num_4'],,,,,,,,,,,,,0,48,48,48,,,,,,,,num_4,0.484592399996,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
46,pic/4.png,abb,['num_4'],,,,,,,,,,,,,0,49,49,49,,,,,,,,num_4,0.451086899993,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
-1,pic/1.png,huan,['num_1'],,,,,,,,,,,,,0,50,50,50,,,,,,,,num_1,0.668156400003,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
-1,pic/8.png,huan,['num_8'],,,,,,,,,,,,,0,51,51,51,,,,,,,,num_8,0.484590699998,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
47,pic/1.png,wh,['num_1'],,,,,,,,,,,,,0,52,52,52,,,,,,,,num_1,0.551300599996,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
48,pic/4.png,wh,['num_4'],,,,,,,,,,,,,0,53,53,53,,,,,,,,num_4,0.551988000007,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
49,pic/7.png,wh,['num_7'],,,,,,,,,,,,,0,54,54,54,,,,,,,,num_7,0.684664999993,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
50,pic/7.png,wh,['num_7'],,,,,,,,,,,,,0,55,55,55,,,,,,,,num_7,0.684802699994,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
51,pic/8.png,wh,['num_8'],,,,,,,,,,,,,0,56,56,56,,,,,,,,num_8,0.517984000006,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
52,pic/9.png,wh,['num_9'],,,,,,,,,,,,,0,57,57,57,,,,,,,,num_9,0.534664799998,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
53,pic/1.png,wh,['num_1'],,,,,,,,,,,,,0,58,58,58,,,,,,,,num_1,0.634573399991,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
54,pic/2.png,wh,['num_2'],,,,,,,,,,,,,0,59,59,59,,,,,,,,num_2,0.684757900002,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
55,pic/3.png,wh,['num_3'],,,,,,,,,,,,,0,60,60,60,,,,,,,,num_3,0.534585300004,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
56,pic/3.png,wh,['num_3'],,,,,,,,,,,,,0,61,61,61,,,,,,,,num_3,0.500958999997,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
57,pic/6.png,wh,['num_6'],,,,,,,,,,,,,0,62,62,62,,,,,,,,num_6,0.484602299999,2019_May_06_0845,60.0410200244,click_exp,001,181830158,
