no,pic,cla,ans,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials_huan.thisRepN,trials_huan.thisTrialN,trials_huan.thisN,trials_huan.thisIndex,trials_baseline.thisRepN,trials_baseline.thisTrialN,trials_baseline.thisN,trials_baseline.thisIndex,trials_formal.thisRepN,trials_formal.thisTrialN,trials_formal.thisN,trials_formal.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_huan.keys,key_resp_huan.rt,key_resp_base.keys,key_resp_base.rt,key_resp_for.keys,key_resp_for.rt,date,frameRate,expName,session,participant,
16,pic/7.png,baseline,['num_7'],,,,,,,,,0,0,0,15,,,,,num_7,0,0.51874259999,num_2,0.602015400014,num_7,0.523315500002,,,2019_May_07_1846,59.9723527408,click_exp,001,181230040,
23,pic/5.png,baseline,['num_5'],,,,,,,,,0,1,1,22,,,,,,,,,,num_5,0.503338200011,,,2019_May_07_1846,59.9723527408,click_exp,001,181230040,
1,pic/1.png,baseline,['num_1'],,,,,,,,,0,2,2,0,,,,,,,,,,num_1,0.554233800009,,,2019_May_07_1846,59.9723527408,click_exp,001,181230040,
8,pic/8.png,baseline,['num_8'],,,,,,,,,0,3,3,7,,,,,,,,,,num_8,0.502941599989,,,2019_May_07_1846,59.9723527408,click_exp,001,181230040,
22,pic/4.png,baseline,['num_4'],,,,,,,,,0,4,4,21,,,,,,,,,,num_4,0.519079699996,,,2019_May_07_1846,59.9723527408,click_exp,001,181230040,
18,pic/9.png,baseline,['num_9'],,,,,,,,,0,5,5,17,,,,,,,,,,num_9,0.435299300007,,,2019_May_07_1846,59.9723527408,click_exp,001,181230040,
24,pic/6.png,baseline,['num_6'],,,,,,,,,0,6,6,23,,,,,,,,,,num_6,0.419098399987,,,2019_May_07_1846,59.9723527408,click_exp,001,181230040,
4,pic/4.png,baseline,['num_4'],,,,,,,,,0,7,7,3,,,,,,,,,,num_4,0.686710800015,,,2019_May_07_1846,59.9723527408,click_exp,001,181230040,
7,pic/7.png,baseline,['num_7'],,,,,,,,,0,8,8,6,,,,,,,,,,num_7,0.585572799988,,,2019_May_07_1846,59.9723527408,click_exp,001,181230040,
17,pic/8.png,baseline,['num_8'],,,,,,,,,0,9,9,16,,,,,,,,,,num_8,0.566822799999,,,2019_May_07_1846,59.9723527408,click_exp,001,181230040,
