no,pic,cla,ans,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials_huan.thisRepN,trials_huan.thisTrialN,trials_huan.thisN,trials_huan.thisIndex,trials_baseline.thisRepN,trials_baseline.thisTrialN,trials_baseline.thisN,trials_baseline.thisIndex,trials_formal.thisRepN,trials_formal.thisTrialN,trials_formal.thisN,trials_formal.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_huan.keys,key_resp_huan.rt,key_resp_base.keys,key_resp_base.rt,key_resp_for.keys,key_resp_for.rt,date,frameRate,expName,session,participant,
20,pic/2.png,baseline,['num_2'],,,,,,,,,0,0,0,19,,,,,num_4,0,0.46821989998,num_9,0.500518599991,num_2,0.500556899991,,,2019_May_08_1650,59.558871261,click_exp,001,181108170,
21,pic/3.png,baseline,['num_3'],,,,,,,,,0,1,1,20,,,,,,,,,,num_3,0.58502150001,,,2019_May_08_1650,59.558871261,click_exp,001,181108170,
26,pic/8.png,baseline,['num_8'],,,,,,,,,0,2,2,25,,,,,,,,,,num_8,0.467952000035,,,2019_May_08_1650,59.558871261,click_exp,001,181108170,
23,pic/5.png,baseline,['num_5'],,,,,,,,,0,3,3,22,,,,,,,,,,num_5,0.452653900022,,,2019_May_08_1650,59.558871261,click_exp,001,181108170,
16,pic/7.png,baseline,['num_7'],,,,,,,,,0,4,4,15,,,,,,,,,,num_7,0.518453900004,,,2019_May_08_1650,59.558871261,click_exp,001,181108170,
11,pic/2.png,baseline,['num_2'],,,,,,,,,0,5,5,10,,,,,,,,,,num_2,0.551654799958,,,2019_May_08_1650,59.558871261,click_exp,001,181108170,
10,pic/1.png,baseline,['num_1'],,,,,,,,,0,6,6,9,,,,,,,,,,num_1,0.533665099996,,,2019_May_08_1650,59.558871261,click_exp,001,181108170,
17,pic/8.png,baseline,['num_8'],,,,,,,,,0,7,7,16,,,,,,,,,,num_8,0.451195699978,,,2019_May_08_1650,59.558871261,click_exp,001,181108170,
15,pic/6.png,baseline,['num_6'],,,,,,,,,0,8,8,14,,,,,,,,,,num_6,0.484631400032,,,2019_May_08_1650,59.558871261,click_exp,001,181108170,
24,pic/6.png,baseline,['num_6'],,,,,,,,,0,9,9,23,,,,,,,,,,num_6,0.451348599978,,,2019_May_08_1650,59.558871261,click_exp,001,181108170,
9,pic/9.png,baseline,['num_9'],,,,,,,,,0,10,10,8,,,,,,,,,,num_9,0.552815700008,,,2019_May_08_1650,59.558871261,click_exp,001,181108170,
1,pic/1.png,baseline,['num_1'],,,,,,,,,0,11,11,0,,,,,,,,,,num_1,0.618069500022,,,2019_May_08_1650,59.558871261,click_exp,001,181108170,
6,pic/6.png,baseline,['num_6'],,,,,,,,,0,12,12,5,,,,,,,,,,num_6,0.433635300025,,,2019_May_08_1650,59.558871261,click_exp,001,181108170,
2,pic/2.png,baseline,['num_2'],,,,,,,,,0,13,13,1,,,,,,,,,,num_2,0.501336099987,,,2019_May_08_1650,59.558871261,click_exp,001,181108170,
8,pic/8.png,baseline,['num_8'],,,,,,,,,0,14,14,7,,,,,,,,,,num_8,0.417207100021,,,2019_May_08_1650,59.558871261,click_exp,001,181108170,
