15.0834 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='white', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1E0990F0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
15.0835 	EXP 	window1: recordFrameIntervals = False
15.2495 	EXP 	window1: recordFrameIntervals = True
15.4333 	EXP 	window1: recordFrameIntervals = False
15.7319 	EXP 	Created wel_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Consolas', fontFiles=[], height=0.1, italic=False, name='wel_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
15.7370 	EXP 	Created image_practice = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_practice', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
15.7635 	EXP 	Created point_prac = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_prac', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
15.8295 	EXP 	Created text_base = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Consolas', fontFiles=[], height=0.1, italic=False, name='text_base', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
15.8359 	EXP 	Created huan_point = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='huan_point', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
15.8396 	EXP 	Created image_huan = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_huan', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
15.8455 	EXP 	Created point_base = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_base', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
15.8497 	EXP 	Created image_base = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_base', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
15.8560 	EXP 	Created point_for = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_for', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
15.8602 	EXP 	Created image_for = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_for', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
15.8760 	EXP 	wel_text: autoDraw = True
35.0531 	DATA 	Keypress: space
35.0622 	EXP 	Imported pic\prac_click.csv as conditions, 47 conditions, 4 params
35.0630 	EXP 	Created sequence: random, trialTypes=47, nReps=1, seed=None
35.0636 	EXP 	New trial (rep=0, index=0): OrderedDict([('no', 18), ('pic', u'pic/9.png'), ('cla', u'practice'), ('ans', ['num_9'])])
35.1197 	EXP 	wel_text: autoDraw = False
35.1197 	EXP 	image_practice: image = u'pic/9.png'
35.1197 	EXP 	point_prac: autoDraw = True
36.0702 	EXP 	point_prac: autoDraw = False
36.1265 	EXP 	image_practice: autoDraw = True
36.8048 	DATA 	Keypress: num_9
36.8064 	EXP 	New trial (rep=0, index=1): OrderedDict([('no', 41), ('pic', u'pic/5.png'), ('cla', u'practice'), ('ans', ['num_5'])])
36.8486 	EXP 	image_practice: autoDraw = False
36.8486 	EXP 	point_prac: autoDraw = False
36.8486 	EXP 	image_practice: image = u'pic/5.png'
36.8486 	EXP 	point_prac: autoDraw = True
37.8219 	EXP 	point_prac: autoDraw = False
37.8387 	EXP 	image_practice: autoDraw = True
38.4565 	DATA 	Keypress: num_5
38.4577 	EXP 	New trial (rep=0, index=2): OrderedDict([('no', 45), ('pic', u'pic/9.png'), ('cla', u'practice'), ('ans', ['num_9'])])
38.4999 	EXP 	image_practice: autoDraw = False
38.4999 	EXP 	point_prac: autoDraw = False
38.4999 	EXP 	image_practice: image = u'pic/9.png'
38.4999 	EXP 	point_prac: autoDraw = True
39.4736 	EXP 	point_prac: autoDraw = False
39.4903 	EXP 	image_practice: autoDraw = True
40.2416 	DATA 	Keypress: num_9
40.2428 	EXP 	New trial (rep=0, index=3): OrderedDict([('no', 10), ('pic', u'pic/1.png'), ('cla', u'practice'), ('ans', ['num_1'])])
40.2852 	EXP 	image_practice: autoDraw = False
40.2852 	EXP 	point_prac: autoDraw = False
40.2852 	EXP 	image_practice: image = u'pic/1.png'
40.2852 	EXP 	point_prac: autoDraw = True
41.2587 	EXP 	point_prac: autoDraw = False
41.2754 	EXP 	image_practice: autoDraw = True
41.9933 	DATA 	Keypress: num_1
41.9946 	EXP 	New trial (rep=0, index=4): OrderedDict([('no', 32), ('pic', u'pic/5.png'), ('cla', u'practice'), ('ans', ['num_5'])])
42.0370 	EXP 	image_practice: autoDraw = False
42.0370 	EXP 	point_prac: autoDraw = False
42.0370 	EXP 	image_practice: image = u'pic/5.png'
42.0370 	EXP 	point_prac: autoDraw = True
43.0105 	EXP 	point_prac: autoDraw = False
43.0271 	EXP 	image_practice: autoDraw = True
43.4954 	DATA 	Keypress: num_5
43.5124 	EXP 	New trial (rep=0, index=5): OrderedDict([('no', 8), ('pic', u'pic/8.png'), ('cla', u'practice'), ('ans', ['num_8'])])
43.5546 	EXP 	image_practice: autoDraw = False
43.5546 	EXP 	point_prac: autoDraw = False
43.5546 	EXP 	image_practice: image = u'pic/8.png'
43.5546 	EXP 	point_prac: autoDraw = True
44.5287 	EXP 	point_prac: autoDraw = False
44.5453 	EXP 	image_practice: autoDraw = True
45.1633 	DATA 	Keypress: num_8
45.1645 	EXP 	New trial (rep=0, index=6): OrderedDict([('no', 29), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
45.2070 	EXP 	image_practice: autoDraw = False
45.2070 	EXP 	point_prac: autoDraw = False
45.2070 	EXP 	image_practice: image = u'pic/2.png'
45.2070 	EXP 	point_prac: autoDraw = True
46.1803 	EXP 	point_prac: autoDraw = False
46.1970 	EXP 	image_practice: autoDraw = True
47.0818 	DATA 	Keypress: num_2
47.0830 	EXP 	New trial (rep=0, index=7): OrderedDict([('no', 27), ('pic', u'pic/9.png'), ('cla', u'practice'), ('ans', ['num_9'])])
47.1252 	EXP 	image_practice: autoDraw = False
47.1252 	EXP 	point_prac: autoDraw = False
47.1252 	EXP 	image_practice: image = u'pic/9.png'
47.1252 	EXP 	point_prac: autoDraw = True
48.0989 	EXP 	point_prac: autoDraw = False
48.1156 	EXP 	image_practice: autoDraw = True
48.8502 	DATA 	Keypress: num_9
48.8514 	EXP 	New trial (rep=0, index=8): OrderedDict([('no', 16), ('pic', u'pic/7.png'), ('cla', u'practice'), ('ans', ['num_7'])])
48.8937 	EXP 	image_practice: autoDraw = False
48.8937 	EXP 	point_prac: autoDraw = False
48.8937 	EXP 	image_practice: image = u'pic/7.png'
48.8937 	EXP 	point_prac: autoDraw = True
48.9503 	DATA 	Keypress: num_5
49.8673 	EXP 	point_prac: autoDraw = False
49.8840 	EXP 	image_practice: autoDraw = True
50.5352 	DATA 	Keypress: num_7
50.5364 	EXP 	New trial (rep=0, index=9): OrderedDict([('no', 11), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
50.5786 	EXP 	image_practice: autoDraw = False
50.5786 	EXP 	point_prac: autoDraw = False
50.5786 	EXP 	image_practice: image = u'pic/2.png'
50.5786 	EXP 	point_prac: autoDraw = True
51.5525 	EXP 	point_prac: autoDraw = False
51.5689 	EXP 	image_practice: autoDraw = True
52.6206 	DATA 	Keypress: num_2
52.6218 	EXP 	New trial (rep=0, index=10): OrderedDict([('no', 15), ('pic', u'pic/6.png'), ('cla', u'practice'), ('ans', ['num_6'])])
52.6641 	EXP 	image_practice: autoDraw = False
52.6641 	EXP 	point_prac: autoDraw = False
52.6641 	EXP 	image_practice: image = u'pic/6.png'
52.6641 	EXP 	point_prac: autoDraw = True
53.6378 	EXP 	point_prac: autoDraw = False
53.6545 	EXP 	image_practice: autoDraw = True
54.1221 	DATA 	Keypress: num_6
54.1234 	EXP 	New trial (rep=0, index=11): OrderedDict([('no', 3), ('pic', u'pic/3.png'), ('cla', u'practice'), ('ans', ['num_3'])])
54.1669 	EXP 	image_practice: autoDraw = False
54.1669 	EXP 	point_prac: autoDraw = False
54.1669 	EXP 	image_practice: image = u'pic/3.png'
54.1669 	EXP 	point_prac: autoDraw = True
55.1391 	EXP 	point_prac: autoDraw = False
55.1560 	EXP 	image_practice: autoDraw = True
55.7571 	DATA 	Keypress: num_3
55.7583 	EXP 	New trial (rep=0, index=12): OrderedDict([('no', 4), ('pic', u'pic/4.png'), ('cla', u'practice'), ('ans', ['num_4'])])
55.8009 	EXP 	image_practice: autoDraw = False
55.8009 	EXP 	point_prac: autoDraw = False
55.8009 	EXP 	image_practice: image = u'pic/4.png'
55.8009 	EXP 	point_prac: autoDraw = True
56.7742 	EXP 	point_prac: autoDraw = False
56.7909 	EXP 	image_practice: autoDraw = True
57.2754 	DATA 	Keypress: num_4
57.2766 	EXP 	New trial (rep=0, index=13): OrderedDict([('no', 12), ('pic', u'pic/3.png'), ('cla', u'practice'), ('ans', ['num_3'])])
57.3190 	EXP 	image_practice: autoDraw = False
57.3190 	EXP 	point_prac: autoDraw = False
57.3190 	EXP 	image_practice: image = u'pic/3.png'
57.3190 	EXP 	point_prac: autoDraw = True
58.2924 	EXP 	point_prac: autoDraw = False
58.3091 	EXP 	image_practice: autoDraw = True
58.9102 	DATA 	Keypress: num_3
58.9114 	EXP 	New trial (rep=0, index=14): OrderedDict([('no', 7), ('pic', u'pic/7.png'), ('cla', u'practice'), ('ans', ['num_7'])])
58.9539 	EXP 	image_practice: autoDraw = False
58.9539 	EXP 	point_prac: autoDraw = False
58.9539 	EXP 	image_practice: image = u'pic/7.png'
58.9539 	EXP 	point_prac: autoDraw = True
59.9274 	EXP 	point_prac: autoDraw = False
59.9441 	EXP 	image_practice: autoDraw = True
60.5786 	DATA 	Keypress: num_7
60.5799 	EXP 	New trial (rep=0, index=15): OrderedDict([('no', 20), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
60.6222 	EXP 	image_practice: autoDraw = False
60.6222 	EXP 	point_prac: autoDraw = False
60.6222 	EXP 	image_practice: image = u'pic/2.png'
60.6222 	EXP 	point_prac: autoDraw = True
61.5957 	EXP 	point_prac: autoDraw = False
61.6124 	EXP 	image_practice: autoDraw = True
62.2135 	DATA 	Keypress: num_2
62.2148 	EXP 	New trial (rep=0, index=16): OrderedDict([('no', 2), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
62.2572 	EXP 	image_practice: autoDraw = False
62.2572 	EXP 	point_prac: autoDraw = False
62.2572 	EXP 	image_practice: image = u'pic/2.png'
62.2572 	EXP 	point_prac: autoDraw = True
63.2307 	EXP 	point_prac: autoDraw = False
63.2474 	EXP 	image_practice: autoDraw = True
63.7818 	DATA 	Keypress: num_2
63.7830 	EXP 	New trial (rep=0, index=17): OrderedDict([('no', 5), ('pic', u'pic/5.png'), ('cla', u'practice'), ('ans', ['num_5'])])
63.8255 	EXP 	image_practice: autoDraw = False
63.8255 	EXP 	point_prac: autoDraw = False
63.8255 	EXP 	image_practice: image = u'pic/5.png'
63.8255 	EXP 	point_prac: autoDraw = True
64.7989 	EXP 	point_prac: autoDraw = False
64.8156 	EXP 	image_practice: autoDraw = True
65.3166 	DATA 	Keypress: num_5
65.3178 	EXP 	New trial (rep=0, index=18): OrderedDict([('no', 6), ('pic', u'pic/6.png'), ('cla', u'practice'), ('ans', ['num_6'])])
65.3604 	EXP 	image_practice: autoDraw = False
65.3604 	EXP 	point_prac: autoDraw = False
65.3604 	EXP 	image_practice: image = u'pic/6.png'
65.3604 	EXP 	point_prac: autoDraw = True
66.3338 	EXP 	point_prac: autoDraw = False
66.3505 	EXP 	image_practice: autoDraw = True
66.9850 	DATA 	Keypress: num_6
66.9862 	EXP 	New trial (rep=0, index=19): OrderedDict([('no', 1), ('pic', u'pic/1.png'), ('cla', u'practice'), ('ans', ['num_1'])])
67.0285 	EXP 	image_practice: autoDraw = False
67.0285 	EXP 	point_prac: autoDraw = False
67.0285 	EXP 	image_practice: image = u'pic/1.png'
67.0285 	EXP 	point_prac: autoDraw = True
68.0021 	EXP 	point_prac: autoDraw = False
68.0188 	EXP 	image_practice: autoDraw = True
68.6032 	DATA 	Keypress: num_1
68.6045 	EXP 	New trial (rep=0, index=20): OrderedDict([('no', 26), ('pic', u'pic/8.png'), ('cla', u'practice'), ('ans', ['num_8'])])
68.6468 	EXP 	image_practice: autoDraw = False
68.6468 	EXP 	point_prac: autoDraw = False
68.6468 	EXP 	image_practice: image = u'pic/8.png'
68.6468 	EXP 	point_prac: autoDraw = True
69.6204 	EXP 	point_prac: autoDraw = False
69.6371 	EXP 	image_practice: autoDraw = True
70.1882 	DATA 	Keypress: num_8
70.1894 	EXP 	New trial (rep=0, index=21): OrderedDict([('no', 38), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
70.2318 	EXP 	image_practice: autoDraw = False
70.2318 	EXP 	point_prac: autoDraw = False
70.2318 	EXP 	image_practice: image = u'pic/2.png'
70.2318 	EXP 	point_prac: autoDraw = True
71.2053 	EXP 	point_prac: autoDraw = False
71.2220 	EXP 	image_practice: autoDraw = True
71.7731 	DATA 	Keypress: num_2
71.7743 	EXP 	New trial (rep=0, index=22): OrderedDict([('no', 40), ('pic', u'pic/4.png'), ('cla', u'practice'), ('ans', ['num_4'])])
71.8170 	EXP 	image_practice: autoDraw = False
71.8170 	EXP 	point_prac: autoDraw = False
71.8170 	EXP 	image_practice: image = u'pic/4.png'
71.8170 	EXP 	point_prac: autoDraw = True
72.7901 	EXP 	point_prac: autoDraw = False
72.8069 	EXP 	image_practice: autoDraw = True
73.2746 	DATA 	Keypress: num_4
73.2759 	EXP 	New trial (rep=0, index=23): OrderedDict([('no', 43), ('pic', u'pic/7.png'), ('cla', u'practice'), ('ans', ['num_7'])])
73.3182 	EXP 	image_practice: autoDraw = False
73.3182 	EXP 	point_prac: autoDraw = False
73.3182 	EXP 	image_practice: image = u'pic/7.png'
73.3182 	EXP 	point_prac: autoDraw = True
74.2917 	EXP 	point_prac: autoDraw = False
74.3084 	EXP 	image_practice: autoDraw = True
74.9434 	DATA 	Keypress: num_7
74.9605 	EXP 	New trial (rep=0, index=24): OrderedDict([('no', 39), ('pic', u'pic/3.png'), ('cla', u'practice'), ('ans', ['num_3'])])
75.0030 	EXP 	image_practice: autoDraw = False
75.0030 	EXP 	point_prac: autoDraw = False
75.0030 	EXP 	image_practice: image = u'pic/3.png'
75.0030 	EXP 	point_prac: autoDraw = True
75.9767 	EXP 	point_prac: autoDraw = False
75.9934 	EXP 	image_practice: autoDraw = True
76.6780 	DATA 	Keypress: num_3
76.6792 	EXP 	New trial (rep=0, index=25): OrderedDict([('no', 17), ('pic', u'pic/8.png'), ('cla', u'practice'), ('ans', ['num_8'])])
76.7216 	EXP 	image_practice: autoDraw = False
76.7216 	EXP 	point_prac: autoDraw = False
76.7216 	EXP 	image_practice: image = u'pic/8.png'
76.7216 	EXP 	point_prac: autoDraw = True
77.6951 	EXP 	point_prac: autoDraw = False
77.7118 	EXP 	image_practice: autoDraw = True
78.3129 	DATA 	Keypress: num_8
78.3142 	EXP 	New trial (rep=0, index=26): OrderedDict([('no', 44), ('pic', u'pic/8.png'), ('cla', u'practice'), ('ans', ['num_8'])])
78.3566 	EXP 	image_practice: autoDraw = False
78.3566 	EXP 	point_prac: autoDraw = False
78.3566 	EXP 	image_practice: image = u'pic/8.png'
78.3566 	EXP 	point_prac: autoDraw = True
79.3301 	EXP 	point_prac: autoDraw = False
79.3468 	EXP 	image_practice: autoDraw = True
79.9478 	DATA 	Keypress: num_8
79.9490 	EXP 	New trial (rep=0, index=27): OrderedDict([('no', 23), ('pic', u'pic/5.png'), ('cla', u'practice'), ('ans', ['num_5'])])
79.9914 	EXP 	image_practice: autoDraw = False
79.9914 	EXP 	point_prac: autoDraw = False
79.9914 	EXP 	image_practice: image = u'pic/5.png'
79.9914 	EXP 	point_prac: autoDraw = True
80.9651 	EXP 	point_prac: autoDraw = False
80.9817 	EXP 	image_practice: autoDraw = True
81.4327 	DATA 	Keypress: num_5
81.4340 	EXP 	New trial (rep=0, index=28): OrderedDict([('no', 34), ('pic', u'pic/7.png'), ('cla', u'practice'), ('ans', ['num_7'])])
81.4766 	EXP 	image_practice: autoDraw = False
81.4766 	EXP 	point_prac: autoDraw = False
81.4766 	EXP 	image_practice: image = u'pic/7.png'
81.4766 	EXP 	point_prac: autoDraw = True
82.4498 	EXP 	point_prac: autoDraw = False
82.4666 	EXP 	image_practice: autoDraw = True
83.0010 	DATA 	Keypress: num_7
83.0022 	EXP 	New trial (rep=0, index=29): OrderedDict([('no', 28), ('pic', u'pic/1.png'), ('cla', u'practice'), ('ans', ['num_1'])])
83.0456 	EXP 	image_practice: autoDraw = False
83.0456 	EXP 	point_prac: autoDraw = False
83.0456 	EXP 	image_practice: image = u'pic/1.png'
83.0456 	EXP 	point_prac: autoDraw = True
84.0181 	EXP 	point_prac: autoDraw = False
84.0348 	EXP 	image_practice: autoDraw = True
84.6194 	DATA 	Keypress: num_1
84.6206 	EXP 	New trial (rep=0, index=30): OrderedDict([('no', 21), ('pic', u'pic/3.png'), ('cla', u'practice'), ('ans', ['num_3'])])
84.6630 	EXP 	image_practice: autoDraw = False
84.6630 	EXP 	point_prac: autoDraw = False
84.6630 	EXP 	image_practice: image = u'pic/3.png'
84.6630 	EXP 	point_prac: autoDraw = True
85.6364 	EXP 	point_prac: autoDraw = False
85.6530 	EXP 	image_practice: autoDraw = True
86.2208 	DATA 	Keypress: num_3
