39.7421 	EXP 	image_practice: autoDraw = True
40.2936 	DATA 	Keypress: num_7
40.2969 	EXP 	New trial (rep=0, index=11): OrderedDict([('no', 32), ('pic', u'pic/5.png'), ('cla', u'practice'), ('ans', ['num_5'])])
40.3800 	EXP 	image_practice: autoDraw = False
40.3800 	EXP 	point_prac: autoDraw = False
40.3800 	EXP 	image_practice: image = u'pic/5.png'
40.3800 	EXP 	point_prac: autoDraw = True
41.3098 	EXP 	point_prac: autoDraw = False
41.3271 	EXP 	image_practice: autoDraw = True
41.7621 	DATA 	Keypress: num_5
41.7657 	EXP 	New trial (rep=0, index=12): OrderedDict([('no', 28), ('pic', u'pic/1.png'), ('cla', u'practice'), ('ans', ['num_1'])])
41.8444 	EXP 	image_practice: autoDraw = False
41.8444 	EXP 	point_prac: autoDraw = False
41.8444 	EXP 	image_practice: image = u'pic/1.png'
41.8444 	EXP 	point_prac: autoDraw = True
42.7781 	EXP 	point_prac: autoDraw = False
42.7953 	EXP 	image_practice: autoDraw = True
43.4471 	DATA 	Keypress: num_0
43.4642 	DATA 	Keypress: num_1
43.4679 	EXP 	New trial (rep=0, index=13): OrderedDict([('no', 34), ('pic', u'pic/7.png'), ('cla', u'practice'), ('ans', ['num_7'])])
43.5572 	EXP 	image_practice: autoDraw = False
43.5572 	EXP 	point_prac: autoDraw = False
43.5572 	EXP 	image_practice: image = u'pic/7.png'
43.5572 	EXP 	point_prac: autoDraw = True
44.4802 	EXP 	point_prac: autoDraw = False
44.4964 	EXP 	image_practice: autoDraw = True
45.1489 	DATA 	Keypress: num_7
45.1525 	EXP 	New trial (rep=0, index=14): OrderedDict([('no', 35), ('pic', u'pic/8.png'), ('cla', u'practice'), ('ans', ['num_8'])])
45.2536 	EXP 	image_practice: autoDraw = False
45.2536 	EXP 	point_prac: autoDraw = False
45.2536 	EXP 	image_practice: image = u'pic/8.png'
45.2536 	EXP 	point_prac: autoDraw = True
46.1651 	EXP 	point_prac: autoDraw = False
46.1819 	EXP 	image_practice: autoDraw = True
46.7003 	DATA 	Keypress: num_8
46.7037 	EXP 	New trial (rep=0, index=15): OrderedDict([('no', 21), ('pic', u'pic/3.png'), ('cla', u'practice'), ('ans', ['num_3'])])
46.7863 	EXP 	image_practice: autoDraw = False
46.7863 	EXP 	point_prac: autoDraw = False
46.7863 	EXP 	image_practice: image = u'pic/3.png'
46.7863 	EXP 	point_prac: autoDraw = True
47.7168 	EXP 	point_prac: autoDraw = False
47.7335 	EXP 	image_practice: autoDraw = True
48.3192 	DATA 	Keypress: num_3
48.3245 	EXP 	New trial (rep=0, index=16): OrderedDict([('no', 26), ('pic', u'pic/8.png'), ('cla', u'practice'), ('ans', ['num_8'])])
48.4112 	EXP 	image_practice: autoDraw = False
48.4112 	EXP 	point_prac: autoDraw = False
48.4112 	EXP 	image_practice: image = u'pic/8.png'
48.4112 	EXP 	point_prac: autoDraw = True
49.3351 	EXP 	point_prac: autoDraw = False
49.3517 	EXP 	image_practice: autoDraw = True
49.8702 	DATA 	Keypress: num_8
49.8740 	EXP 	New trial (rep=0, index=17): OrderedDict([('no', 19), ('pic', u'pic/1.png'), ('cla', u'practice'), ('ans', ['num_1'])])
49.9646 	EXP 	image_practice: autoDraw = False
49.9646 	EXP 	point_prac: autoDraw = False
49.9646 	EXP 	image_practice: image = u'pic/1.png'
49.9646 	EXP 	point_prac: autoDraw = True
50.8866 	EXP 	point_prac: autoDraw = False
50.9033 	EXP 	image_practice: autoDraw = True
51.3717 	DATA 	Keypress: num_1
51.3751 	EXP 	New trial (rep=0, index=18): OrderedDict([('no', 17), ('pic', u'pic/8.png'), ('cla', u'practice'), ('ans', ['num_8'])])
51.4620 	EXP 	image_practice: autoDraw = False
51.4620 	EXP 	point_prac: autoDraw = False
51.4620 	EXP 	image_practice: image = u'pic/8.png'
51.4620 	EXP 	point_prac: autoDraw = True
52.3881 	EXP 	point_prac: autoDraw = False
52.4044 	EXP 	image_practice: autoDraw = True
52.8567 	DATA 	Keypress: num_8
52.8601 	EXP 	New trial (rep=0, index=19): OrderedDict([('no', 40), ('pic', u'pic/4.png'), ('cla', u'practice'), ('ans', ['num_4'])])
52.9504 	EXP 	image_practice: autoDraw = False
52.9504 	EXP 	point_prac: autoDraw = False
52.9504 	EXP 	image_practice: image = u'pic/4.png'
52.9504 	EXP 	point_prac: autoDraw = True
53.8727 	EXP 	point_prac: autoDraw = False
53.8896 	EXP 	image_practice: autoDraw = True
54.4423 	DATA 	Keypress: num_4
54.4462 	EXP 	New trial (rep=0, index=20): OrderedDict([('no', 30), ('pic', u'pic/3.png'), ('cla', u'practice'), ('ans', ['num_3'])])
54.5334 	EXP 	image_practice: autoDraw = False
54.5334 	EXP 	point_prac: autoDraw = False
54.5334 	EXP 	image_practice: image = u'pic/3.png'
54.5334 	EXP 	point_prac: autoDraw = True
55.4579 	EXP 	point_prac: autoDraw = False
55.4745 	EXP 	image_practice: autoDraw = True
56.0764 	DATA 	Keypress: num_3
56.0799 	EXP 	New trial (rep=0, index=21): OrderedDict([('no', 14), ('pic', u'pic/5.png'), ('cla', u'practice'), ('ans', ['num_5'])])
56.1757 	EXP 	image_practice: autoDraw = False
56.1757 	EXP 	point_prac: autoDraw = False
56.1757 	EXP 	image_practice: image = u'pic/5.png'
56.1757 	EXP 	point_prac: autoDraw = True
57.0920 	EXP 	point_prac: autoDraw = False
57.1096 	EXP 	image_practice: autoDraw = True
57.5448 	DATA 	Keypress: num_5
57.5482 	EXP 	New trial (rep=0, index=22): OrderedDict([('no', 5), ('pic', u'pic/5.png'), ('cla', u'practice'), ('ans', ['num_5'])])
57.6358 	EXP 	image_practice: autoDraw = False
57.6358 	EXP 	point_prac: autoDraw = False
57.6358 	EXP 	image_practice: image = u'pic/5.png'
57.6358 	EXP 	point_prac: autoDraw = True
58.5609 	EXP 	point_prac: autoDraw = False
58.5776 	EXP 	image_practice: autoDraw = True
59.0627 	DATA 	Keypress: num_5
59.0660 	EXP 	New trial (rep=0, index=23): OrderedDict([('no', 47), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
59.1532 	EXP 	image_practice: autoDraw = False
59.1532 	EXP 	point_prac: autoDraw = False
59.1532 	EXP 	image_practice: image = u'pic/2.png'
59.1532 	EXP 	point_prac: autoDraw = True
60.0791 	EXP 	point_prac: autoDraw = False
60.0955 	EXP 	image_practice: autoDraw = True
60.6811 	DATA 	Keypress: num_2
60.6845 	EXP 	New trial (rep=0, index=24): OrderedDict([('no', 44), ('pic', u'pic/8.png'), ('cla', u'practice'), ('ans', ['num_8'])])
60.7803 	EXP 	image_practice: autoDraw = False
60.7803 	EXP 	point_prac: autoDraw = False
60.7803 	EXP 	image_practice: image = u'pic/8.png'
60.7803 	EXP 	point_prac: autoDraw = True
61.6975 	EXP 	point_prac: autoDraw = False
61.7139 	EXP 	image_practice: autoDraw = True
62.1496 	DATA 	Keypress: num_8
62.1528 	EXP 	New trial (rep=0, index=25): OrderedDict([('no', 39), ('pic', u'pic/3.png'), ('cla', u'practice'), ('ans', ['num_3'])])
62.2379 	EXP 	image_practice: autoDraw = False
62.2379 	EXP 	point_prac: autoDraw = False
62.2379 	EXP 	image_practice: image = u'pic/3.png'
62.2379 	EXP 	point_prac: autoDraw = True
63.1651 	EXP 	point_prac: autoDraw = False
63.1822 	EXP 	image_practice: autoDraw = True
63.6847 	DATA 	Keypress: num_3
63.6884 	EXP 	New trial (rep=0, index=26): OrderedDict([('no', 43), ('pic', u'pic/7.png'), ('cla', u'practice'), ('ans', ['num_7'])])
63.7847 	EXP 	image_practice: autoDraw = False
63.7847 	EXP 	point_prac: autoDraw = False
63.7847 	EXP 	image_practice: image = u'pic/7.png'
63.7847 	EXP 	point_prac: autoDraw = True
64.7008 	EXP 	point_prac: autoDraw = False
64.7175 	EXP 	image_practice: autoDraw = True
65.2538 	DATA 	Keypress: num_7
65.2577 	EXP 	New trial (rep=0, index=27): OrderedDict([('no', 22), ('pic', u'pic/4.png'), ('cla', u'practice'), ('ans', ['num_4'])])
65.3399 	EXP 	image_practice: autoDraw = False
65.3399 	EXP 	point_prac: autoDraw = False
65.3399 	EXP 	image_practice: image = u'pic/4.png'
65.3399 	EXP 	point_prac: autoDraw = True
66.2686 	EXP 	point_prac: autoDraw = False
66.2848 	EXP 	image_practice: autoDraw = True
66.7376 	DATA 	Keypress: num_4
66.7421 	EXP 	New trial (rep=0, index=28): OrderedDict([('no', 41), ('pic', u'pic/5.png'), ('cla', u'practice'), ('ans', ['num_5'])])
66.8277 	EXP 	image_practice: autoDraw = False
66.8277 	EXP 	point_prac: autoDraw = False
66.8277 	EXP 	image_practice: image = u'pic/5.png'
66.8277 	EXP 	point_prac: autoDraw = True
67.7536 	EXP 	point_prac: autoDraw = False
67.7719 	EXP 	image_practice: autoDraw = True
68.2218 	DATA 	Keypress: num_5
68.2251 	EXP 	New trial (rep=0, index=29): OrderedDict([('no', 1), ('pic', u'pic/1.png'), ('cla', u'practice'), ('ans', ['num_1'])])
68.3124 	EXP 	image_practice: autoDraw = False
68.3124 	EXP 	point_prac: autoDraw = False
68.3124 	EXP 	image_practice: image = u'pic/1.png'
68.3124 	EXP 	point_prac: autoDraw = True
69.2383 	EXP 	point_prac: autoDraw = False
69.2547 	EXP 	image_practice: autoDraw = True
69.7068 	DATA 	Keypress: num_1
69.7102 	EXP 	New trial (rep=0, index=30): OrderedDict([('no', 38), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
69.7970 	EXP 	image_practice: autoDraw = False
69.7970 	EXP 	point_prac: autoDraw = False
69.7970 	EXP 	image_practice: image = u'pic/2.png'
69.7970 	EXP 	point_prac: autoDraw = True
70.7231 	EXP 	point_prac: autoDraw = False
70.7397 	EXP 	image_practice: autoDraw = True
71.2247 	DATA 	Keypress: num_2
71.2281 	EXP 	New trial (rep=0, index=31): OrderedDict([('no', 23), ('pic', u'pic/5.png'), ('cla', u'practice'), ('ans', ['num_5'])])
71.3181 	EXP 	image_practice: autoDraw = False
71.3181 	EXP 	point_prac: autoDraw = False
71.3181 	EXP 	image_practice: image = u'pic/5.png'
71.3181 	EXP 	point_prac: autoDraw = True
72.2412 	EXP 	point_prac: autoDraw = False
72.2575 	EXP 	image_practice: autoDraw = True
