no,pic,cla,ans,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials_huan.thisRepN,trials_huan.thisTrialN,trials_huan.thisN,trials_huan.thisIndex,trials_baseline.thisRepN,trials_baseline.thisTrialN,trials_baseline.thisN,trials_baseline.thisIndex,trials_formal.thisRepN,trials_formal.thisTrialN,trials_formal.thisN,trials_formal.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_huan.keys,key_resp_huan.rt,key_resp_base.keys,key_resp_base.rt,key_resp_for.keys,key_resp_for.rt,date,frameRate,expName,session,participant,
12,pic/3.png,baseline,['num_3'],,,,,,,,,0,0,0,11,,,,,num_1,0,0.618199500022,num_9,0.618519700016,num_3,0.568393900001,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
18,pic/9.png,baseline,['num_9'],,,,,,,,,0,1,1,17,,,,,,,,,,num_9,0.584678900021,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
22,pic/4.png,baseline,['num_4'],,,,,,,,,0,2,2,21,,,,,,,,,,num_4,0.585034599993,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
25,pic/7.png,baseline,['num_7'],,,,,,,,,0,3,3,24,,,,,,,,,,num_7,0.668496600003,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
2,pic/2.png,baseline,['num_2'],,,,,,,,,0,4,4,1,,,,,,,,,,num_2,0.618380000058,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
16,pic/7.png,baseline,['num_7'],,,,,,,,,0,5,5,15,,,,,,,,,,num_7,0.601679200015,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
21,pic/3.png,baseline,['num_3'],,,,,,,,,0,6,6,20,,,,,,,,,,num_3,0.551777000015,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
1,pic/1.png,baseline,['num_1'],,,,,,,,,0,7,7,0,,,,,,,,,,num_1,0.601645199989,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
11,pic/2.png,baseline,['num_2'],,,,,,,,,0,8,8,10,,,,,,,,,,num_2,0.551290700037,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
20,pic/2.png,baseline,['num_2'],,,,,,,,,0,9,9,19,,,,,,,,,,num_2,0.501751400006,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
9,pic/9.png,baseline,['num_9'],,,,,,,,,0,10,10,8,,,,,,,,,,num_9,0.634760999994,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
15,pic/6.png,baseline,['num_6'],,,,,,,,,0,11,11,14,,,,,,,,,,num_6,0.468216500012,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
26,pic/8.png,baseline,['num_8'],,,,,,,,,0,12,12,25,,,,,,,,,,num_8,0.53491290001,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
3,pic/3.png,baseline,['num_3'],,,,,,,,,0,13,13,2,,,,,,,,,,num_3,0.534626799985,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
14,pic/5.png,baseline,['num_5'],,,,,,,,,0,14,14,13,,,,,,,,,,num_5,0.41823239997,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
7,pic/7.png,baseline,['num_7'],,,,,,,,,0,15,15,6,,,,,,,,,,num_7,0.601417099999,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
23,pic/5.png,baseline,['num_5'],,,,,,,,,0,16,16,22,,,,,,,,,,num_5,0.40119970002,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
13,pic/4.png,baseline,['num_4'],,,,,,,,,0,17,17,12,,,,,,,,,,num_4,0.468252599996,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
8,pic/8.png,baseline,['num_8'],,,,,,,,,0,18,18,7,,,,,,,,,,num_8,0.518885200028,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
6,pic/6.png,baseline,['num_6'],,,,,,,,,0,19,19,5,,,,,,,,,,num_6,0.484987000003,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
5,pic/5.png,baseline,['num_5'],,,,,,,,,0,20,20,4,,,,,,,,,,num_5,0.484591199958,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
19,pic/1.png,baseline,['num_1'],,,,,,,,,0,21,21,18,,,,,,,,,,num_1,0.568128700019,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
27,pic/9.png,baseline,['num_9'],,,,,,,,,0,22,22,26,,,,,,,,,,num_9,0.58444929996,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
17,pic/8.png,baseline,['num_8'],,,,,,,,,0,23,23,16,,,,,,,,,,num_8,0.517188299971,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
4,pic/4.png,baseline,['num_4'],,,,,,,,,0,24,24,3,,,,,,,,,,num_4,0.50132109999,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
24,pic/6.png,baseline,['num_6'],,,,,,,,,0,25,25,23,,,,,,,,,,num_6,0.601547400001,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
10,pic/1.png,baseline,['num_1'],,,,,,,,,0,26,26,9,,,,,,,,,,num_1,0.618356399995,,,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
1,pic/7.png,aa,['num_7'],,,,,,,,,,,,,0,0,0,0,,,,,,,,num_7,0.634290899965,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
2,pic/7.png,aa,['num_7'],,,,,,,,,,,,,0,1,1,1,,,,,,,,num_7,0.651806799986,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
3,pic/4.png,aa,['num_4'],,,,,,,,,,,,,0,2,2,2,,,,,,,,num_4,0.618104299996,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
4,pic/4.png,aa,['num_4'],,,,,,,,,,,,,0,3,3,3,,,,,,,,num_4,0.451286999974,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
5,pic/1.png,aa,['num_1'],,,,,,,,,,,,,0,4,4,4,,,,,,,,num_1,0.568365300016,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
6,pic/1.png,aa,['num_1'],,,,,,,,,,,,,0,5,5,5,,,,,,,,num_1,0.518280100019,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
7,pic/8.png,aa,['num_8'],,,,,,,,,,,,,0,6,6,6,,,,,,,,num_8,0.601630199992,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
8,pic/8.png,aa,['num_8'],,,,,,,,,,,,,0,7,7,7,,,,,,,,num_8,0.467934400018,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
9,pic/6.png,aa,['num_6'],,,,,,,,,,,,,0,8,8,8,,,,,,,,num_6,0.451271899976,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
10,pic/6.png,aa,['num_6'],,,,,,,,,,,,,0,9,9,9,,,,,,,,num_6,0.40153209999,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
-1,pic/5.png,huan,['num_5'],,,,,,,,,,,,,0,10,10,10,,,,,,,,num_5,0.434559800022,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
-1,pic/9.png,huan,['num_9'],,,,,,,,,,,,,0,11,11,11,,,,,,,,num_9,0.601683099987,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
11,pic/4.png,aaa,['num_4'],,,,,,,,,,,,,0,12,12,12,,,,,,,,num_4,0.518271400011,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
12,pic/4.png,aaa,['num_4'],,,,,,,,,,,,,0,13,13,13,,,,,,,,num_4,0.451568399963,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
13,pic/4.png,aaa,['num_4'],,,,,,,,,,,,,0,14,14,14,,,,,,,,num_4,0.418224399968,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
14,pic/5.png,aaa,['num_5'],,,,,,,,,,,,,0,15,15,15,,,,,,,,num_5,0.518012099958,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
15,pic/5.png,aaa,['num_5'],,,,,,,,,,,,,0,16,16,16,,,,,,,,num_5,0.417973000032,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
16,pic/5.png,aaa,['num_5'],,,,,,,,,,,,,0,17,17,17,,,,,,,,num_5,0.434839699999,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
17,pic/3.png,aaa,['num_3'],,,,,,,,,,,,,0,18,18,18,,,,,,,,num_3,0.651721900038,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
18,pic/3.png,aaa,['num_3'],,,,,,,,,,,,,0,19,19,19,,,,,,,,num_3,0.384790999989,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
19,pic/3.png,aaa,['num_3'],,,,,,,,,,,,,0,20,20,20,,,,,,,,num_3,0.46830800001,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
20,pic/6.png,aaa,['num_6'],,,,,,,,,,,,,0,21,21,21,,,,,,,,num_6,0.484852800029,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
21,pic/6.png,aaa,['num_6'],,,,,,,,,,,,,0,22,22,22,,,,,,,,num_6,0.351440099999,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
22,pic/6.png,aaa,['num_6'],,,,,,,,,,,,,0,23,23,23,,,,,,,,num_6,0.46785299998,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
-1,pic/5.png,huan,['num_5'],,,,,,,,,,,,,0,24,24,24,,,,,,,,num_5,0.501310000021,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
-1,pic/9.png,huan,['num_9'],,,,,,,,,,,,,0,25,25,25,,,,,,,,num_9,0.585068900022,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
23,pic/2.png,abb,['num_2'],,,,,,,,,,,,,0,26,26,26,,,,,,,,num_2,0.534736100002,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
24,pic/5.png,abb,['num_5'],,,,,,,,,,,,,0,27,27,27,,,,,,,,num_5,0.401481000008,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
25,pic/5.png,abb,['num_5'],,,,,,,,,,,,,0,28,28,28,,,,,,,,num_5,0.4348321,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
26,pic/6.png,abb,['num_6'],,,,,,,,,,,,,0,29,29,29,,,,,,,,num_6,0.434908299998,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
27,pic/1.png,abb,['num_1'],,,,,,,,,,,,,0,30,30,30,,,,,,,,num_1,0.551388999971,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
28,pic/1.png,abb,['num_1'],,,,,,,,,,,,,0,31,31,31,,,,,,,,num_1,0.484876099974,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
29,pic/4.png,abb,['num_4'],,,,,,,,,,,,,0,32,32,32,,,,,,,,num_4,0.635057699983,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
30,pic/1.png,abb,['num_1'],,,,,,,,,,,,,0,33,33,33,,,,,,,,num_1,0.585017199977,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
31,pic/1.png,abb,['num_1'],,,,,,,,,,,,,0,34,34,34,,,,,,,,num_1,0.534707199957,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
32,pic/2.png,abb,['num_2'],,,,,,,,,,,,,0,35,35,35,,,,,,,,num_2,0.601315799984,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
33,pic/7.png,abb,['num_7'],,,,,,,,,,,,,0,36,36,36,,,,,,,,num_7,0.634985200013,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
34,pic/7.png,abb,['num_7'],,,,,,,,,,,,,0,37,37,37,,,,,,,,num_7,0.484766499954,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
35,pic/9.png,abb,['num_9'],,,,,,,,,,,,,0,38,38,38,,,,,,,,num_9,0.635165999993,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
36,pic/7.png,abb,['num_7'],,,,,,,,,,,,,0,39,39,39,,,,,,,,num_7,0.568089800014,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
37,pic/7.png,abb,['num_7'],,,,,,,,,,,,,0,40,40,40,,,,,,,,num_7,0.384587500012,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
38,pic/7.png,abb,['num_7'],,,,,,,,,,,,,0,41,41,41,,,,,,,,num_7,0.518233600014,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
39,pic/2.png,abb,['num_2'],,,,,,,,,,,,,0,42,42,42,,,,,,,,num_2,0.584174999967,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
40,pic/2.png,abb,['num_2'],,,,,,,,,,,,,0,43,43,43,,,,,,,,num_2,0.518158700026,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
41,pic/1.png,abb,['num_1'],,,,,,,,,,,,,0,44,44,44,,,,,,,,num_1,0.618254599976,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
42,pic/2.png,abb,['num_2'],,,,,,,,,,,,,0,45,45,45,,,,,,,,num_2,0.535608200007,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
43,pic/2.png,abb,['num_2'],,,,,,,,,,,,,0,46,46,46,,,,,,,,num_2,0.434553499974,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
44,pic/6.png,abb,['num_6'],,,,,,,,,,,,,0,47,47,47,,,,,,,,num_6,0.484929100028,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
45,pic/2.png,abb,['num_2'],,,,,,,,,,,,,0,48,48,48,,,,,,,,num_2,0.501565699989,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
46,pic/2.png,abb,['num_2'],,,,,,,,,,,,,0,49,49,49,,,,,,,,num_2,0.535009099985,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
-1,pic/3.png,huan,['num_3'],,,,,,,,,,,,,0,50,50,50,,,,,,,,num_3,0.534697900002,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
-1,pic/5.png,huan,['num_5'],,,,,,,,,,,,,0,51,51,51,,,,,,,,num_5,0.451471600041,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
47,pic/1.png,wh,['num_1'],,,,,,,,,,,,,0,52,52,52,,,,,,,,num_1,0.61809459998,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
48,pic/2.png,wh,['num_2'],,,,,,,,,,,,,0,53,53,53,,,,,,,,num_2,0.534923000028,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
49,pic/3.png,wh,['num_3'],,,,,,,,,,,,,0,54,54,54,,,,,,,,num_3,0.518064600008,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
50,pic/1.png,wh,['num_1'],,,,,,,,,,,,,0,55,55,55,,,,,,,,num_1,0.535043600015,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
51,pic/4.png,wh,['num_4'],,,,,,,,,,,,,0,56,56,56,,,,,,,,num_4,0.534696300048,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
52,pic/7.png,wh,['num_7'],,,,,,,,,,,,,0,57,57,57,,,,,,,,num_7,0.701545800024,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
53,pic/7.png,wh,['num_7'],,,,,,,,,,,,,0,58,58,58,,,,,,,,num_7,0.46823129995,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
54,pic/8.png,wh,['num_8'],,,,,,,,,,,,,0,59,59,59,,,,,,,,num_8,0.48477619997,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
55,pic/9.png,wh,['num_9'],,,,,,,,,,,,,0,60,60,60,,,,,,,,num_9,0.450987100019,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
56,pic/1.png,wh,['num_1'],,,,,,,,,,,,,0,61,61,61,,,,,,,,num_1,0.768584099947,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
57,pic/2.png,wh,['num_2'],,,,,,,,,,,,,0,62,62,62,,,,,,,,num_2,0.618443999963,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
58,pic/3.png,wh,['num_3'],,,,,,,,,,,,,0,63,63,63,,,,,,,,num_3,0.384009299974,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
59,pic/1.png,cross,['num_1'],,,,,,,,,,,,,0,64,64,64,,,,,,,,num_1,0.61836740002,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
60,pic/5.png,cross,['num_5'],,,,,,,,,,,,,0,65,65,65,,,,,,,,num_5,0.534371200018,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
61,pic/9.png,cross,['num_9'],,,,,,,,,,,,,0,66,66,66,,,,,,,,num_9,0.551393900008,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
62,pic/7.png,cross,['num_7'],,,,,,,,,,,,,0,67,67,67,,,,,,,,num_7,0.685042799974,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
63,pic/5.png,cross,['num_5'],,,,,,,,,,,,,0,68,68,68,,,,,,,,num_5,0.351176500029,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
64,pic/3.png,cross,['num_3'],,,,,,,,,,,,,0,69,69,69,,,,,,,,num_3,0.318082900019,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
65,pic/1.png,cross,['num_1'],,,,,,,,,,,,,0,70,70,70,,,,,,,,num_1,0.585013500007,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
66,pic/5.png,cross,['num_5'],,,,,,,,,,,,,0,71,71,71,,,,,,,,num_5,0.384769800003,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
67,pic/9.png,cross,['num_9'],,,,,,,,,,,,,0,72,72,72,,,,,,,,num_9,0.351537199982,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
68,pic/7.png,cross,['num_7'],,,,,,,,,,,,,0,73,73,73,,,,,,,,num_7,0.384522399982,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
69,pic/5.png,cross,['num_5'],,,,,,,,,,,,,0,74,74,74,,,,,,,,num_5,0.301364000014,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
70,pic/3.png,cross,['num_3'],,,,,,,,,,,,,0,75,75,75,,,,,,,,num_3,0.301342100021,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
-1,pic/5.png,huan,['num_5'],,,,,,,,,,,,,0,76,76,76,,,,,,,,num_5,0.601216099982,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
-1,pic/7.png,huan,['num_7'],,,,,,,,,,,,,0,77,77,77,,,,,,,,num_7,0.618203899998,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
71,pic/3.png,abc3,['num_3'],,,,,,,,,,,,,0,78,78,78,,,,,,,,num_3,0.668223400018,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
72,pic/4.png,abc3,['num_4'],,,,,,,,,,,,,0,79,79,79,,,,,,,,num_4,0.618190700014,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
73,pic/8.png,abc3,['num_8'],,,,,,,,,,,,,0,80,80,80,,,,,,,,num_8,0.534722699958,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
74,pic/3.png,abc3,['num_3'],,,,,,,,,,,,,0,81,81,81,,,,,,,,num_3,0.618400899984,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
75,pic/4.png,abc3,['num_4'],,,,,,,,,,,,,0,82,82,82,,,,,,,,num_4,0.53496910003,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
76,pic/8.png,abc3,['num_8'],,,,,,,,,,,,,0,83,83,83,,,,,,,,num_8,0.434868699987,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
77,pic/3.png,abc3,['num_3'],,,,,,,,,,,,,0,84,84,84,,,,,,,,num_3,0.434296600055,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
78,pic/4.png,abc3,['num_4'],,,,,,,,,,,,,0,85,85,85,,,,,,,,num_4,0.601691500051,2019_May_08_1719,59.9468631007,click_exp,001,151210031,
