no,pic,cla,ans,n,key_resp_base.keys_raw,key_resp_base.rt_mean,key_resp_base.rt_raw,key_resp_base.rt_std,order
1,pic/1.png,baseline,['num_1'],1.0,'num_1',0.601397871971,0.6013978719711304,0.0,15.0
2,pic/2.png,baseline,['num_2'],1.0,'num_2',0.866081476212,0.8660814762115479,0.0,0.0
3,pic/3.png,baseline,['num_3'],1.0,'num_3',0.584855318069,0.584855318069458,0.0,4.0
4,pic/4.png,baseline,['num_4'],1.0,'num_4',0.718143522739,0.7181435227394104,0.0,8.0
5,pic/5.png,baseline,['num_5'],1.0,'num_5',0.501285016537,0.5012850165367126,0.0,7.0
6,pic/6.png,baseline,['num_6'],1.0,'num_6',0.517928302288,0.5179283022880554,0.0,1.0
7,pic/7.png,baseline,['num_7'],1.0,'num_7',0.668130874634,0.6681308746337891,0.0,20.0
8,pic/8.png,baseline,['num_8'],1.0,'num_8',0.584671795368,0.5846717953681946,0.0,5.0
9,pic/9.png,baseline,['num_9'],1.0,'num_9',0.868420481682,0.8684204816818237,0.0,6.0
10,pic/1.png,baseline,['num_1'],1.0,'num_1',0.601347327232,0.6013473272323608,0.0,24.0
11,pic/2.png,baseline,['num_2'],1.0,'num_2',0.751499176025,0.7514991760253906,0.0,14.0
12,pic/3.png,baseline,['num_3'],1.0,'num_3',0.801571190357,0.8015711903572083,0.0,11.0
13,pic/4.png,baseline,['num_4'],1.0,'num_4',0.58509272337,0.5850927233695984,0.0,9.0
14,pic/5.png,baseline,['num_5'],1.0,'num_5',0.568166613579,0.5681666135787964,0.0,19.0
15,pic/6.png,baseline,['num_6'],1.0,'num_6',0.601335823536,0.6013358235359192,0.0,26.0
16,pic/7.png,baseline,['num_7'],1.0,'num_7',0.65153580904,0.6515358090400696,0.0,10.0
17,pic/8.png,baseline,['num_8'],1.0,'num_8',0.718289673328,0.7182896733283997,0.0,16.0
18,pic/9.png,baseline,['num_9'],1.0,'num_9',0.768201291561,0.7682012915611267,0.0,18.0
19,pic/1.png,baseline,['num_1'],1.0,'num_1',0.868344426155,0.8683444261550903,0.0,21.0
20,pic/2.png,baseline,['num_2'],1.0,'num_2',0.584672689438,0.5846726894378662,0.0,22.0
21,pic/3.png,baseline,['num_3'],1.0,'num_3',0.551387488842,0.5513874888420105,0.0,12.0
22,pic/4.png,baseline,['num_4'],1.0,'num_4',0.885045528412,0.8850455284118652,0.0,2.0
23,pic/5.png,baseline,['num_5'],1.0,'num_5',0.551506698132,0.5515066981315613,0.0,17.0
24,pic/6.png,baseline,['num_6'],1.0,'num_6',0.901678919792,0.9016789197921753,0.0,25.0
25,pic/7.png,baseline,['num_7'],1.0,'num_7',0.885015785694,0.8850157856941223,0.0,23.0
26,pic/8.png,baseline,['num_8'],1.0,'num_8',0.985128283501,0.9851282835006714,0.0,3.0
27,pic/9.png,baseline,['num_9'],1.0,'num_9',0.951878726482,0.9518787264823914,0.0,13.0

extraInfo
date,2019_May_06_1319
frameRate,60.0271803063
expName,click_exp
session,001
participant,161278027
