no,pic,cla,ans,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials_huan.thisRepN,trials_huan.thisTrialN,trials_huan.thisN,trials_huan.thisIndex,trials_baseline.thisRepN,trials_baseline.thisTrialN,trials_baseline.thisN,trials_baseline.thisIndex,trials_formal.thisRepN,trials_formal.thisTrialN,trials_formal.thisN,trials_formal.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_huan.keys,key_resp_huan.rt,key_resp_base.keys,key_resp_base.rt,key_resp_for.keys,key_resp_for.rt,date,frameRate,expName,session,participant,
17,pic/8.png,baseline,['num_8'],,,,,,,,,0,0,0,16,,,,,num_5,0,0.453911599994,num_9,0.552319400012,num_8,0.604633200041,,,2019_May_08_1152,59.6594281856,click_exp,001,MG1810082,
11,pic/2.png,baseline,['num_2'],,,,,,,,,0,1,1,10,,,,,,,,,,num_2,0.486327800027,,,2019_May_08_1152,59.6594281856,click_exp,001,MG1810082,
16,pic/7.png,baseline,['num_7'],,,,,,,,,0,2,2,15,,,,,,,,,,num_7,0.587050699978,,,2019_May_08_1152,59.6594281856,click_exp,001,MG1810082,
15,pic/6.png,baseline,['num_6'],,,,,,,,,0,3,3,14,,,,,,,,,,num_6,0.452433600032,,,2019_May_08_1152,59.6594281856,click_exp,001,MG1810082,
25,pic/7.png,baseline,['num_7'],,,,,,,,,0,4,4,24,,,,,,,,,,num_7,0.55257400003,,,2019_May_08_1152,59.6594281856,click_exp,001,MG1810082,
8,pic/8.png,baseline,['num_8'],,,,,,,,,0,5,5,7,,,,,,,,,,num_8,0.5693417,,,2019_May_08_1152,59.6594281856,click_exp,001,MG1810082,
19,pic/1.png,baseline,['num_1'],,,,,,,,,0,6,6,18,,,,,,,,,,num_1,0.552224899991,,,2019_May_08_1152,59.6594281856,click_exp,001,MG1810082,
9,pic/9.png,baseline,['num_9'],,,,,,,,,0,7,7,8,,,,,,,,,,num_9,0.568826299976,,,2019_May_08_1152,59.6594281856,click_exp,001,MG1810082,
4,pic/4.png,baseline,['num_4'],,,,,,,,,0,8,8,3,,,,,,,,,,num_4,0.502639099956,,,2019_May_08_1152,59.6594281856,click_exp,001,MG1810082,
18,pic/9.png,baseline,['num_9'],,,,,,,,,0,9,9,17,,,,,,,,,,num_9,0.52139150002,,,2019_May_08_1152,59.6594281856,click_exp,001,MG1810082,
13,pic/4.png,baseline,['num_4'],,,,,,,,,0,10,10,12,,,,,,,,,,num_4,0.569142099994,,,2019_May_08_1152,59.6594281856,click_exp,001,MG1810082,
5,pic/5.png,baseline,['num_5'],,,,,,,,,0,11,11,4,,,,,,,,,,num_5,0.454225299996,,,2019_May_08_1152,59.6594281856,click_exp,001,MG1810082,
22,pic/4.png,baseline,['num_4'],,,,,,,,,0,12,12,21,,,,,,,,,,num_4,0.485658599995,,,2019_May_08_1152,59.6594281856,click_exp,001,MG1810082,
21,pic/3.png,baseline,['num_3'],,,,,,,,,0,13,13,20,,,,,,,,,,num_3,0.603961799992,,,2019_May_08_1152,59.6594281856,click_exp,001,MG1810082,
6,pic/6.png,baseline,['num_6'],,,,,,,,,0,14,14,5,,,,,,,,,,num_6,0.453319699969,,,2019_May_08_1152,59.6594281856,click_exp,001,MG1810082,
12,pic/3.png,baseline,['num_3'],,,,,,,,,0,15,15,11,,,,,,,,,,num_3,0.653046099993,,,2019_May_08_1152,59.6594281856,click_exp,001,MG1810082,
