14.5818 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='white', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1EC620F0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
14.5819 	EXP 	window1: recordFrameIntervals = False
14.7478 	EXP 	window1: recordFrameIntervals = True
14.9315 	EXP 	window1: recordFrameIntervals = False
15.2683 	EXP 	Created wel_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Consolas', fontFiles=[], height=0.1, italic=False, name='wel_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
15.2735 	EXP 	Created image_practice = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_practice', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
15.3009 	EXP 	Created point_prac = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_prac', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
15.3617 	EXP 	Created text_base = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Consolas', fontFiles=[], height=0.1, italic=False, name='text_base', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
15.3677 	EXP 	Created huan_point = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='huan_point', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
15.3716 	EXP 	Created image_huan = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_huan', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
15.3775 	EXP 	Created point_base = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_base', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
15.3817 	EXP 	Created image_base = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_base', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
15.3883 	EXP 	Created point_for = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_for', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
15.3926 	EXP 	Created image_for = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_for', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
15.4101 	EXP 	wel_text: autoDraw = True
29.3463 	DATA 	Keypress: space
29.3555 	EXP 	Imported pic\prac_click.csv as conditions, 47 conditions, 4 params
29.3564 	EXP 	Created sequence: random, trialTypes=47, nReps=1, seed=None
29.3570 	EXP 	New trial (rep=0, index=0): OrderedDict([('no', 2), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
29.4145 	EXP 	wel_text: autoDraw = False
29.4145 	EXP 	image_practice: image = u'pic/2.png'
29.4145 	EXP 	point_prac: autoDraw = True
30.3633 	EXP 	point_prac: autoDraw = False
30.4197 	EXP 	image_practice: autoDraw = True
31.4817 	DATA 	Keypress: num_2
31.4833 	EXP 	New trial (rep=0, index=1): OrderedDict([('no', 36), ('pic', u'pic/9.png'), ('cla', u'practice'), ('ans', ['num_9'])])
31.5263 	EXP 	image_practice: autoDraw = False
31.5263 	EXP 	point_prac: autoDraw = False
31.5263 	EXP 	image_practice: image = u'pic/9.png'
31.5263 	EXP 	point_prac: autoDraw = True
32.4989 	EXP 	point_prac: autoDraw = False
32.5156 	EXP 	image_practice: autoDraw = True
33.4837 	DATA 	Keypress: num_9
33.4850 	EXP 	New trial (rep=0, index=2): OrderedDict([('no', 31), ('pic', u'pic/4.png'), ('cla', u'practice'), ('ans', ['num_4'])])
33.5280 	EXP 	image_practice: autoDraw = False
33.5280 	EXP 	point_prac: autoDraw = False
33.5280 	EXP 	image_practice: image = u'pic/4.png'
33.5280 	EXP 	point_prac: autoDraw = True
34.5009 	EXP 	point_prac: autoDraw = False
34.5174 	EXP 	image_practice: autoDraw = True
35.3356 	DATA 	Keypress: num_4
35.3368 	EXP 	New trial (rep=0, index=3): OrderedDict([('no', 25), ('pic', u'pic/7.png'), ('cla', u'practice'), ('ans', ['num_7'])])
35.3799 	EXP 	image_practice: autoDraw = False
35.3799 	EXP 	point_prac: autoDraw = False
35.3799 	EXP 	image_practice: image = u'pic/7.png'
35.3799 	EXP 	point_prac: autoDraw = True
36.3526 	EXP 	point_prac: autoDraw = False
36.3693 	EXP 	image_practice: autoDraw = True
37.1706 	DATA 	Keypress: num_7
37.1718 	EXP 	New trial (rep=0, index=4): OrderedDict([('no', 32), ('pic', u'pic/5.png'), ('cla', u'practice'), ('ans', ['num_5'])])
37.2148 	EXP 	image_practice: autoDraw = False
37.2148 	EXP 	point_prac: autoDraw = False
37.2148 	EXP 	image_practice: image = u'pic/5.png'
37.2148 	EXP 	point_prac: autoDraw = True
38.1879 	EXP 	point_prac: autoDraw = False
38.2044 	EXP 	image_practice: autoDraw = True
38.9389 	DATA 	Keypress: num_5
38.9403 	EXP 	New trial (rep=0, index=5): OrderedDict([('no', 12), ('pic', u'pic/3.png'), ('cla', u'practice'), ('ans', ['num_3'])])
38.9834 	EXP 	image_practice: autoDraw = False
38.9834 	EXP 	point_prac: autoDraw = False
38.9834 	EXP 	image_practice: image = u'pic/3.png'
38.9834 	EXP 	point_prac: autoDraw = True
39.9562 	EXP 	point_prac: autoDraw = False
39.9728 	EXP 	image_practice: autoDraw = True
40.7575 	DATA 	Keypress: num_3
40.7588 	EXP 	New trial (rep=0, index=6): OrderedDict([('no', 8), ('pic', u'pic/8.png'), ('cla', u'practice'), ('ans', ['num_8'])])
40.8019 	EXP 	image_practice: autoDraw = False
40.8019 	EXP 	point_prac: autoDraw = False
40.8019 	EXP 	image_practice: image = u'pic/8.png'
40.8019 	EXP 	point_prac: autoDraw = True
41.7748 	EXP 	point_prac: autoDraw = False
41.7913 	EXP 	image_practice: autoDraw = True
42.6595 	DATA 	Keypress: num_8
42.6608 	EXP 	New trial (rep=0, index=7): OrderedDict([('no', 18), ('pic', u'pic/9.png'), ('cla', u'practice'), ('ans', ['num_9'])])
42.7038 	EXP 	image_practice: autoDraw = False
42.7038 	EXP 	point_prac: autoDraw = False
42.7038 	EXP 	image_practice: image = u'pic/9.png'
42.7038 	EXP 	point_prac: autoDraw = True
43.6767 	EXP 	point_prac: autoDraw = False
43.6934 	EXP 	image_practice: autoDraw = True
44.5281 	DATA 	Keypress: num_9
44.5293 	EXP 	New trial (rep=0, index=8): OrderedDict([('no', 13), ('pic', u'pic/4.png'), ('cla', u'practice'), ('ans', ['num_4'])])
44.5724 	EXP 	image_practice: autoDraw = False
44.5724 	EXP 	point_prac: autoDraw = False
44.5724 	EXP 	image_practice: image = u'pic/4.png'
44.5724 	EXP 	point_prac: autoDraw = True
45.5452 	EXP 	point_prac: autoDraw = False
45.5619 	EXP 	image_practice: autoDraw = True
46.3632 	DATA 	Keypress: num_4
46.3646 	EXP 	New trial (rep=0, index=9): OrderedDict([('no', 38), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
46.4077 	EXP 	image_practice: autoDraw = False
46.4077 	EXP 	point_prac: autoDraw = False
46.4077 	EXP 	image_practice: image = u'pic/2.png'
46.4077 	EXP 	point_prac: autoDraw = True
47.3805 	EXP 	point_prac: autoDraw = False
47.3971 	EXP 	image_practice: autoDraw = True
48.1318 	DATA 	Keypress: num_2
48.1330 	EXP 	New trial (rep=0, index=10): OrderedDict([('no', 15), ('pic', u'pic/6.png'), ('cla', u'practice'), ('ans', ['num_6'])])
48.1759 	EXP 	image_practice: autoDraw = False
48.1759 	EXP 	point_prac: autoDraw = False
48.1759 	EXP 	image_practice: image = u'pic/6.png'
48.1759 	EXP 	point_prac: autoDraw = True
49.1489 	EXP 	point_prac: autoDraw = False
49.1655 	EXP 	image_practice: autoDraw = True
50.0167 	DATA 	Keypress: num_6
50.0180 	EXP 	New trial (rep=0, index=11): OrderedDict([('no', 20), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
50.0609 	EXP 	image_practice: autoDraw = False
50.0609 	EXP 	point_prac: autoDraw = False
50.0609 	EXP 	image_practice: image = u'pic/2.png'
50.0609 	EXP 	point_prac: autoDraw = True
51.0340 	EXP 	point_prac: autoDraw = False
51.0507 	EXP 	image_practice: autoDraw = True
51.9188 	DATA 	Keypress: num_2
51.9201 	EXP 	New trial (rep=0, index=12): OrderedDict([('no', 33), ('pic', u'pic/6.png'), ('cla', u'practice'), ('ans', ['num_6'])])
51.9630 	EXP 	image_practice: autoDraw = False
51.9630 	EXP 	point_prac: autoDraw = False
51.9630 	EXP 	image_practice: image = u'pic/6.png'
51.9630 	EXP 	point_prac: autoDraw = True
52.9359 	EXP 	point_prac: autoDraw = False
52.9525 	EXP 	image_practice: autoDraw = True
53.6371 	DATA 	Keypress: num_6
53.6384 	EXP 	New trial (rep=0, index=13): OrderedDict([('no', 7), ('pic', u'pic/7.png'), ('cla', u'practice'), ('ans', ['num_7'])])
53.6814 	EXP 	image_practice: autoDraw = False
53.6814 	EXP 	point_prac: autoDraw = False
53.6814 	EXP 	image_practice: image = u'pic/7.png'
53.6814 	EXP 	point_prac: autoDraw = True
54.6543 	EXP 	point_prac: autoDraw = False
54.6710 	EXP 	image_practice: autoDraw = True
55.3556 	DATA 	Keypress: num_7
55.3569 	EXP 	New trial (rep=0, index=14): OrderedDict([('no', 39), ('pic', u'pic/3.png'), ('cla', u'practice'), ('ans', ['num_3'])])
55.4007 	EXP 	image_practice: autoDraw = False
55.4007 	EXP 	point_prac: autoDraw = False
55.4007 	EXP 	image_practice: image = u'pic/3.png'
55.4007 	EXP 	point_prac: autoDraw = True
56.3727 	EXP 	point_prac: autoDraw = False
56.3894 	EXP 	image_practice: autoDraw = True
57.1240 	DATA 	Keypress: num_3
57.1253 	EXP 	New trial (rep=0, index=15): OrderedDict([('no', 3), ('pic', u'pic/3.png'), ('cla', u'practice'), ('ans', ['num_3'])])
57.1681 	EXP 	image_practice: autoDraw = False
57.1681 	EXP 	point_prac: autoDraw = False
57.1681 	EXP 	image_practice: image = u'pic/3.png'
57.1681 	EXP 	point_prac: autoDraw = True
58.1412 	EXP 	point_prac: autoDraw = False
58.1578 	EXP 	image_practice: autoDraw = True
58.9092 	DATA 	Keypress: num_3
58.9105 	EXP 	New trial (rep=0, index=16): OrderedDict([('no', 40), ('pic', u'pic/4.png'), ('cla', u'practice'), ('ans', ['num_4'])])
58.9534 	EXP 	image_practice: autoDraw = False
58.9534 	EXP 	point_prac: autoDraw = False
58.9534 	EXP 	image_practice: image = u'pic/4.png'
58.9534 	EXP 	point_prac: autoDraw = True
59.9261 	EXP 	point_prac: autoDraw = False
59.9429 	EXP 	image_practice: autoDraw = True
60.6940 	DATA 	Keypress: num_4
60.6952 	EXP 	New trial (rep=0, index=17): OrderedDict([('no', 42), ('pic', u'pic/6.png'), ('cla', u'practice'), ('ans', ['num_6'])])
60.7381 	EXP 	image_practice: autoDraw = False
60.7381 	EXP 	point_prac: autoDraw = False
60.7381 	EXP 	image_practice: image = u'pic/6.png'
60.7381 	EXP 	point_prac: autoDraw = True
61.7112 	EXP 	point_prac: autoDraw = False
61.7280 	EXP 	image_practice: autoDraw = True
62.4293 	DATA 	Keypress: num_6
62.4306 	EXP 	New trial (rep=0, index=18): OrderedDict([('no', 29), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
62.4734 	EXP 	image_practice: autoDraw = False
62.4734 	EXP 	point_prac: autoDraw = False
62.4734 	EXP 	image_practice: image = u'pic/2.png'
62.4734 	EXP 	point_prac: autoDraw = True
63.4465 	EXP 	point_prac: autoDraw = False
63.4632 	EXP 	image_practice: autoDraw = True
