no,pic,cla,ans,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials_huan.thisRepN,trials_huan.thisTrialN,trials_huan.thisN,trials_huan.thisIndex,trials_baseline.thisRepN,trials_baseline.thisTrialN,trials_baseline.thisN,trials_baseline.thisIndex,trials_formal.thisRepN,trials_formal.thisTrialN,trials_formal.thisN,trials_formal.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_huan.keys,key_resp_huan.rt,key_resp_base.keys,key_resp_base.rt,key_resp_for.keys,key_resp_for.rt,date,frameRate,expName,session,participant,
6,pic/4.png,aa,['num_4'],,,,,,,,,,,,,0,5,5,5,,,,,,,,num_4,0.451819000009,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
7,pic/3.png,aa,['num_3'],,,,,,,,,,,,,0,6,6,6,,,,,,,,num_3,0.502338499995,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
8,pic/3.png,aa,['num_3'],,,,,,,,,,,,,0,7,7,7,,,,,,,,num_3,0.537009899999,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
9,pic/9.png,aa,['num_9'],,,,,,,,,,,,,0,8,8,8,,,,,,,,num_9,0.618914599996,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
10,pic/9.png,aa,['num_9'],,,,,,,,,,,,,0,9,9,9,,,,,,,,num_9,0.516521699989,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
-1,pic/3.png,huan,['num_3'],,,,,,,,,,,,,0,10,10,10,,,,,,,,num_3,0.470213099994,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
-1,pic/9.png,huan,['num_9'],,,,,,,,,,,,,0,11,11,11,,,,,,,,num_9,0.535656099994,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
11,pic/6.png,aaa,['num_6'],,,,,,,,,,,,,0,12,12,12,,,,,,,,num_6,0.48537759998,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
12,pic/6.png,aaa,['num_6'],,,,,,,,,,,,,0,13,13,13,,,,,,,,num_6,0.402384099987,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
13,pic/6.png,aaa,['num_6'],,,,,,,,,,,,,0,14,14,14,,,,,,,,num_6,0.402263700002,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
14,pic/5.png,aaa,['num_5'],,,,,,,,,,,,,0,15,15,15,,,,,,,,num_5,0.452421900001,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
15,pic/5.png,aaa,['num_5'],,,,,,,,,,,,,0,16,16,16,,,,,,,,num_5,0.435936100024,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
16,pic/5.png,aaa,['num_5'],,,,,,,,,,,,,0,17,17,17,,,,,,,,num_5,0.352485100011,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
17,pic/8.png,aaa,['num_8'],,,,,,,,,,,,,0,18,18,18,,,,,,,,num_8,0.536859799991,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
18,pic/8.png,aaa,['num_8'],,,,,,,,,,,,,0,19,19,19,,,,,,,,num_8,0.419690200011,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
19,pic/8.png,aaa,['num_8'],,,,,,,,,,,,,0,20,20,20,,,,,,,,num_8,0.435374799999,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
