35.8507 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='white', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1E0F50F0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
35.8509 	EXP 	window1: recordFrameIntervals = False
36.0147 	EXP 	window1: recordFrameIntervals = True
36.2990 	EXP 	window1: recordFrameIntervals = False
36.7028 	EXP 	Created wel_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Consolas', fontFiles=[], height=0.1, italic=False, name='wel_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
36.7079 	EXP 	Created image_practice = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_practice', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
36.7345 	EXP 	Created point_prac = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_prac', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
36.7901 	EXP 	Created text_base = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Consolas', fontFiles=[], height=0.1, italic=False, name='text_base', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
36.7958 	EXP 	Created huan_point = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='huan_point', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
36.7996 	EXP 	Created image_huan = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_huan', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
36.8054 	EXP 	Created point_base = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_base', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
36.8093 	EXP 	Created image_base = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_base', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
36.8151 	EXP 	Created point_for = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_for', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
36.8190 	EXP 	Created image_for = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_for', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
36.8348 	EXP 	wel_text: autoDraw = True
47.0109 	DATA 	Keypress: space
47.0348 	EXP 	Imported pic\prac_click.csv as conditions, 47 conditions, 4 params
47.0367 	EXP 	Created sequence: random, trialTypes=47, nReps=1, seed=None
47.0384 	EXP 	New trial (rep=0, index=0): OrderedDict([('no', 29), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
47.1266 	EXP 	wel_text: autoDraw = False
47.1266 	EXP 	image_practice: image = u'pic/2.png'
47.1266 	EXP 	point_prac: autoDraw = True
48.0428 	EXP 	point_prac: autoDraw = False
48.1563 	EXP 	image_practice: autoDraw = True
48.8958 	DATA 	Keypress: num_2
48.9000 	EXP 	New trial (rep=0, index=1): OrderedDict([('no', 12), ('pic', u'pic/3.png'), ('cla', u'practice'), ('ans', ['num_3'])])
48.9865 	EXP 	image_practice: autoDraw = False
48.9865 	EXP 	point_prac: autoDraw = False
48.9865 	EXP 	image_practice: image = u'pic/3.png'
48.9865 	EXP 	point_prac: autoDraw = True
49.9122 	EXP 	point_prac: autoDraw = False
49.9282 	EXP 	image_practice: autoDraw = True
50.7490 	DATA 	Keypress: num_3
50.7532 	EXP 	New trial (rep=0, index=2): OrderedDict([('no', 42), ('pic', u'pic/6.png'), ('cla', u'practice'), ('ans', ['num_6'])])
50.8323 	EXP 	image_practice: autoDraw = False
50.8323 	EXP 	point_prac: autoDraw = False
50.8323 	EXP 	image_practice: image = u'pic/6.png'
50.8323 	EXP 	point_prac: autoDraw = True
51.7645 	EXP 	point_prac: autoDraw = False
51.7812 	EXP 	image_practice: autoDraw = True
52.5162 	DATA 	Keypress: num_6
52.5198 	EXP 	New trial (rep=0, index=3): OrderedDict([('no', 8), ('pic', u'pic/8.png'), ('cla', u'practice'), ('ans', ['num_8'])])
52.6009 	EXP 	image_practice: autoDraw = False
52.6009 	EXP 	point_prac: autoDraw = False
52.6009 	EXP 	image_practice: image = u'pic/8.png'
52.6009 	EXP 	point_prac: autoDraw = True
53.5319 	EXP 	point_prac: autoDraw = False
53.5487 	EXP 	image_practice: autoDraw = True
54.3352 	DATA 	Keypress: num_8
54.3394 	EXP 	New trial (rep=0, index=4): OrderedDict([('no', 38), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
54.4373 	EXP 	image_practice: autoDraw = False
54.4373 	EXP 	point_prac: autoDraw = False
54.4373 	EXP 	image_practice: image = u'pic/2.png'
54.4373 	EXP 	point_prac: autoDraw = True
55.3509 	EXP 	point_prac: autoDraw = False
55.3677 	EXP 	image_practice: autoDraw = True
56.3872 	DATA 	Keypress: num_2
56.3918 	EXP 	New trial (rep=0, index=5): OrderedDict([('no', 45), ('pic', u'pic/9.png'), ('cla', u'practice'), ('ans', ['num_9'])])
56.4791 	EXP 	image_practice: autoDraw = False
56.4791 	EXP 	point_prac: autoDraw = False
56.4791 	EXP 	image_practice: image = u'pic/9.png'
56.4791 	EXP 	point_prac: autoDraw = True
57.4030 	EXP 	point_prac: autoDraw = False
57.4197 	EXP 	image_practice: autoDraw = True
58.2558 	DATA 	Keypress: num_9
58.2599 	EXP 	New trial (rep=0, index=6): OrderedDict([('no', 25), ('pic', u'pic/7.png'), ('cla', u'practice'), ('ans', ['num_7'])])
58.3720 	EXP 	image_practice: autoDraw = False
58.3720 	EXP 	point_prac: autoDraw = False
58.3720 	EXP 	image_practice: image = u'pic/7.png'
58.3720 	EXP 	point_prac: autoDraw = True
59.2719 	EXP 	point_prac: autoDraw = False
59.2886 	EXP 	image_practice: autoDraw = True
60.0754 	DATA 	Keypress: num_7
60.0796 	EXP 	New trial (rep=0, index=7): OrderedDict([('no', 4), ('pic', u'pic/4.png'), ('cla', u'practice'), ('ans', ['num_4'])])
60.1677 	EXP 	image_practice: autoDraw = False
60.1677 	EXP 	point_prac: autoDraw = False
60.1677 	EXP 	image_practice: image = u'pic/4.png'
60.1677 	EXP 	point_prac: autoDraw = True
61.0902 	EXP 	point_prac: autoDraw = False
61.1066 	EXP 	image_practice: autoDraw = True
61.7593 	DATA 	Keypress: num_4
61.7634 	EXP 	New trial (rep=0, index=8): OrderedDict([('no', 39), ('pic', u'pic/3.png'), ('cla', u'practice'), ('ans', ['num_3'])])
61.8616 	EXP 	image_practice: autoDraw = False
61.8616 	EXP 	point_prac: autoDraw = False
61.8616 	EXP 	image_practice: image = u'pic/3.png'
61.8616 	EXP 	point_prac: autoDraw = True
62.7750 	EXP 	point_prac: autoDraw = False
