no,pic,cla,ans,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials_huan.thisRepN,trials_huan.thisTrialN,trials_huan.thisN,trials_huan.thisIndex,trials_baseline.thisRepN,trials_baseline.thisTrialN,trials_baseline.thisN,trials_baseline.thisIndex,trials_formal.thisRepN,trials_formal.thisTrialN,trials_formal.thisN,trials_formal.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_huan.keys,key_resp_huan.rt,key_resp_base.keys,key_resp_base.rt,key_resp_for.keys,key_resp_for.rt,date,frameRate,expName,session,participant,
23,pic/5.png,baseline,['num_5'],,,,,,,,,0,0,0,22,,,,,num_8,0,0.451273800005,num_9,0.517924799991,num_5,0.392862200009,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
12,pic/3.png,baseline,['num_3'],,,,,,,,,0,1,1,11,,,,,,,,,,num_3,0.568140799995,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
20,pic/2.png,baseline,['num_2'],,,,,,,,,0,2,2,19,,,,,,,,,,num_2,0.584685099995,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
8,pic/8.png,baseline,['num_8'],,,,,,,,,0,3,3,7,,,,,,,,,,num_8,0.484571099994,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
14,pic/5.png,baseline,['num_5'],,,,,,,,,0,4,4,13,,,,,,,,,,num_5,0.401175499996,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
10,pic/1.png,baseline,['num_1'],,,,,,,,,0,5,5,9,,,,,,,,,,num_1,0.517929900001,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
25,pic/7.png,baseline,['num_7'],,,,,,,,,0,6,6,24,,,,,,,,,,num_7,0.434515999994,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
15,pic/6.png,baseline,['num_6'],,,,,,,,,0,7,7,14,,,,,,,,,,num_6,0.451177800001,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
1,pic/1.png,baseline,['num_1'],,,,,,,,,0,8,8,0,,,,,,,,,,num_1,0.551288600007,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
26,pic/8.png,baseline,['num_8'],,,,,,,,,0,9,9,25,,,,,,,,,,num_8,0.451197099988,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
27,pic/9.png,baseline,['num_9'],,,,,,,,,0,10,10,26,,,,,,,,,,num_9,0.584760799989,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
21,pic/3.png,baseline,['num_3'],,,,,,,,,0,11,11,20,,,,,,,,,,num_3,0.551015100005,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
11,pic/2.png,baseline,['num_2'],,,,,,,,,0,12,12,10,,,,,,,,,,num_2,0.534732999993,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
5,pic/5.png,baseline,['num_5'],,,,,,,,,0,13,13,4,,,,,,,,,,num_5,0.384482299996,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
13,pic/4.png,baseline,['num_4'],,,,,,,,,0,14,14,12,,,,,,,,,,num_4,0.467865500003,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
9,pic/9.png,baseline,['num_9'],,,,,,,,,0,15,15,8,,,,,,,,,,num_9,0.50126070001,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
3,pic/3.png,baseline,['num_3'],,,,,,,,,0,16,16,2,,,,,,,,,,num_3,0.534611399999,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
16,pic/7.png,baseline,['num_7'],,,,,,,,,0,17,17,15,,,,,,,,,,num_7,0.468032000004,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
17,pic/8.png,baseline,['num_8'],,,,,,,,,0,18,18,16,,,,,,,,,,num_8,0.501267300002,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
18,pic/9.png,baseline,['num_9'],,,,,,,,,0,19,19,17,,,,,,,,,,num_9,0.517960599987,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
2,pic/2.png,baseline,['num_2'],,,,,,,,,0,20,20,1,,,,,,,,,,num_2,0.5181189,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
22,pic/4.png,baseline,['num_4'],,,,,,,,,0,21,21,21,,,,,,,,,,num_4,0.417849499994,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
24,pic/6.png,baseline,['num_6'],,,,,,,,,0,22,22,23,,,,,,,,,,num_6,0.417966699999,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
6,pic/6.png,baseline,['num_6'],,,,,,,,,0,23,23,5,,,,,,,,,,num_6,0.451265200012,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
19,pic/1.png,baseline,['num_1'],,,,,,,,,0,24,24,18,,,,,,,,,,num_1,0.601415199999,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
7,pic/7.png,baseline,['num_7'],,,,,,,,,0,25,25,6,,,,,,,,,,num_7,0.501247199994,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
4,pic/4.png,baseline,['num_4'],,,,,,,,,0,26,26,3,,,,,,,,,,num_4,0.484586799997,,,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
1,pic/1.png,aa,['num_1'],,,,,,,,,,,,,0,0,0,0,,,,,,,,num_1,0.501414099999,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
2,pic/1.png,aa,['num_1'],,,,,,,,,,,,,0,1,1,1,,,,,,,,num_1,0.517896699996,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
3,pic/6.png,aa,['num_6'],,,,,,,,,,,,,0,2,2,2,,,,,,,,num_6,0.467838199998,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
4,pic/6.png,aa,['num_6'],,,,,,,,,,,,,0,3,3,3,,,,,,,,num_6,0.417902700006,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
5,pic/7.png,aa,['num_7'],,,,,,,,,,,,,0,4,4,4,,,,,,,,num_7,0.451206699989,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
6,pic/7.png,aa,['num_7'],,,,,,,,,,,,,0,5,5,5,,,,,,,,num_7,0.517912399999,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
7,pic/8.png,aa,['num_8'],,,,,,,,,,,,,0,6,6,6,,,,,,,,num_8,0.484548099994,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
8,pic/8.png,aa,['num_8'],,,,,,,,,,,,,0,7,7,7,,,,,,,,num_8,0.517924900007,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
9,pic/3.png,aa,['num_3'],,,,,,,,,,,,,0,8,8,8,,,,,,,,num_3,0.551265300004,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
10,pic/3.png,aa,['num_3'],,,,,,,,,,,,,0,9,9,9,,,,,,,,num_3,0.517965000006,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
-1,pic/3.png,huan,['num_3'],,,,,,,,,,,,,0,10,10,10,,,,,,,,num_3,0.534611499999,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
-1,pic/1.png,huan,['num_1'],,,,,,,,,,,,,0,11,11,11,,,,,,,,num_1,0.585212499995,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
11,pic/2.png,aaa,['num_2'],,,,,,,,,,,,,0,12,12,12,,,,,,,,num_2,0.484776999991,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
12,pic/2.png,aaa,['num_2'],,,,,,,,,,,,,0,13,13,13,,,,,,,,num_2,0.467988400007,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
13,pic/2.png,aaa,['num_2'],,,,,,,,,,,,,0,14,14,14,,,,,,,,num_2,0.48456479999,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
14,pic/7.png,aaa,['num_7'],,,,,,,,,,,,,0,15,15,15,,,,,,,,num_7,0.518038199996,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
15,pic/7.png,aaa,['num_7'],,,,,,,,,,,,,0,16,16,16,,,,,,,,num_7,0.468090099996,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
16,pic/7.png,aaa,['num_7'],,,,,,,,,,,,,0,17,17,17,,,,,,,,num_7,0.4845566,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
17,pic/8.png,aaa,['num_8'],,,,,,,,,,,,,0,18,18,18,,,,,,,,num_8,0.534614299992,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
18,pic/8.png,aaa,['num_8'],,,,,,,,,,,,,0,19,19,19,,,,,,,,num_8,0.467859700002,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
19,pic/8.png,aaa,['num_8'],,,,,,,,,,,,,0,20,20,20,,,,,,,,num_8,0.501252800008,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
20,pic/9.png,aaa,['num_9'],,,,,,,,,,,,,0,21,21,21,,,,,,,,num_9,0.534904200002,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
21,pic/9.png,aaa,['num_9'],,,,,,,,,,,,,0,22,22,22,,,,,,,,num_9,0.484516299999,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
22,pic/9.png,aaa,['num_9'],,,,,,,,,,,,,0,23,23,23,,,,,,,,num_9,0.517947800006,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
-1,pic/8.png,huan,['num_8'],,,,,,,,,,,,,0,24,24,24,,,,,,,,num_8,0.534738900009,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
-1,pic/2.png,huan,['num_2'],,,,,,,,,,,,,0,25,25,25,,,,,,,,num_2,0.601263599994,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
23,pic/2.png,abb,['num_2'],,,,,,,,,,,,,0,26,26,26,,,,,,,,num_2,0.551200000002,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
24,pic/4.png,abb,['num_4'],,,,,,,,,,,,,0,27,27,27,,,,,,,,num_4,0.401072999986,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
25,pic/4.png,abb,['num_4'],,,,,,,,,,,,,0,28,28,28,,,,,,,,num_4,0.401135200009,2019_May_06_1523,59.9536917736,click_exp,001,151210017,
