pic,ans,cla,no,n,key_resp_for.keys_raw,key_resp_for.rt_mean,key_resp_for.rt_raw,key_resp_for.rt_std,order
pic/9.png,['num_9'],aa,1,1.0,'num_9',0.47890651226,0.478906512260437,0.0,0.0
pic/9.png,['num_9'],aa,2,1.0,'num_9',0.435458600521,0.43545860052108765,0.0,1.0
pic/5.png,['num_5'],aa,3,1.0,'num_5',0.43540468812,0.4354046881198883,0.0,2.0
pic/5.png,['num_5'],aa,4,1.0,'num_5',0.518728911877,0.5187289118766785,0.0,3.0
pic/8.png,['num_8'],aa,5,1.0,'num_8',0.484834998846,0.4848349988460541,0.0,4.0
pic/8.png,['num_8'],aa,6,1.0,'num_8',0.38614359498,0.38614359498023987,0.0,5.0
pic/6.png,['num_6'],aa,7,1.0,'num_6',0.470221608877,0.470221608877182,0.0,6.0
pic/6.png,['num_6'],aa,8,1.0,'num_6',0.487114191055,0.48711419105529785,0.0,7.0
pic/1.png,['num_1'],aa,9,1.0,'num_1',0.619273602962,0.6192736029624939,0.0,8.0
pic/1.png,['num_1'],aa,10,1.0,'num_1',0.486887514591,0.48688751459121704,0.0,9.0
pic/6.png,['num_6'],huan,-1,1.0,'num_6',0.368716388941,0.36871638894081116,0.0,10.0
pic/7.png,['num_7'],huan,-1,1.0,'num_7',0.486861914396,0.486861914396286,0.0,11.0
pic/6.png,['num_6'],aaa,11,1.0,'num_6',0.318594306707,0.3185943067073822,0.0,12.0
pic/6.png,['num_6'],aaa,12,1.0,'num_6',0.336423903704,0.3364239037036896,0.0,13.0
pic/6.png,['num_6'],aaa,13,1.0,'num_6',0.386487692595,0.3864876925945282,0.0,14.0
pic/5.png,['num_5'],aaa,14,1.0,'num_5',0.389237999916,0.38923799991607666,0.0,15.0
pic/5.png,['num_5'],aaa,15,1.0,'num_5',0.353246212006,0.35324621200561523,0.0,16.0
pic/5.png,['num_5'],aaa,16,1.0,'num_5',0.302821993828,0.3028219938278198,0.0,17.0
pic/8.png,['num_8'],aaa,17,1.0,'num_8',0.436345487833,0.43634548783302307,0.0,18.0
pic/8.png,['num_8'],aaa,18,1.0,'num_8',0.385007292032,0.3850072920322418,0.0,19.0
pic/8.png,['num_8'],aaa,19,1.0,'num_8',0.319276213646,0.31927621364593506,0.0,20.0
pic/4.png,['num_4'],aaa,20,1.0,'num_4',0.453237503767,0.45323750376701355,0.0,21.0
pic/4.png,['num_4'],aaa,21,1.0,'num_4',0.301952004433,0.3019520044326782,0.0,22.0
pic/4.png,['num_4'],aaa,22,1.0,'num_4',0.234258905053,0.23425890505313873,0.0,23.0
pic/8.png,['num_8'],huan,-1,1.0,'num_8',0.434819698334,0.43481969833374023,0.0,24.0
pic/7.png,['num_7'],huan,-1,1.0,'num_7',0.48589989543,0.4858998954296112,0.0,25.0
pic/6.png,['num_6'],abb,23,1.0,'num_6',0.402175486088,0.4021754860877991,0.0,26.0
pic/5.png,['num_5'],abb,24,1.0,'num_5',0.467438191175,0.4674381911754608,0.0,27.0
pic/5.png,['num_5'],abb,25,1.0,'num_5',0.452659904957,0.4526599049568176,0.0,28.0
