no,pic,cla,ans,n,key_resp_base.keys_raw,key_resp_base.rt_mean,key_resp_base.rt_raw,key_resp_base.rt_std,order
1,pic/1.png,baseline,['num_1'],1.0,'num_1',0.568717896938,0.568717896938324,0.0,13.0
2,pic/2.png,baseline,['num_2'],1.0,'num_2',0.45149859786,0.4514985978603363,0.0,1.0
3,pic/3.png,baseline,['num_3'],1.0,'num_3',0.551692306995,0.5516923069953918,0.0,4.0
4,pic/4.png,baseline,['num_4'],1.0,'num_4',0.568199574947,0.5681995749473572,0.0,17.0
5,pic/5.png,baseline,['num_5'],1.0,'num_5',0.485438913107,0.48543891310691833,0.0,22.0
6,pic/6.png,baseline,['num_6'],1.0,'num_6',0.502053499222,0.5020534992218018,0.0,18.0
7,pic/7.png,baseline,['num_7'],1.0,'num_7',0.567779183388,0.5677791833877563,0.0,14.0
8,pic/8.png,baseline,['num_8'],1.0,'num_8',0.484934806824,0.48493480682373047,0.0,9.0
9,pic/9.png,baseline,['num_9'],1.0,'num_9',0.60162371397,0.6016237139701843,0.0,6.0
10,pic/1.png,baseline,['num_1'],1.0,'num_1',0.468196988106,0.4681969881057739,0.0,16.0
11,pic/2.png,baseline,['num_2'],1.0,'num_2',0.467661589384,0.467661589384079,0.0,15.0
12,pic/3.png,baseline,['num_3'],1.0,'num_3',0.501512408257,0.5015124082565308,0.0,0.0
13,pic/4.png,baseline,['num_4'],1.0,'num_4',0.418130010366,0.4181300103664398,0.0,19.0
14,pic/5.png,baseline,['num_5'],1.0,'num_5',0.484713107347,0.4847131073474884,0.0,20.0
15,pic/6.png,baseline,['num_6'],1.0,'num_6',0.551556527615,0.5515565276145935,0.0,10.0
16,pic/7.png,baseline,['num_7'],1.0,'num_7',0.485005587339,0.48500558733940125,0.0,5.0
17,pic/8.png,baseline,['num_8'],1.0,'num_8',0.584883511066,0.5848835110664368,0.0,3.0
18,pic/9.png,baseline,['num_9'],1.0,'num_9',0.568520605564,0.5685206055641174,0.0,23.0
19,pic/1.png,baseline,['num_1'],1.0,'num_1',0.468078911304,0.4680789113044739,0.0,7.0
20,pic/2.png,baseline,['num_2'],1.0,'num_2',0.451248705387,0.4512487053871155,0.0,8.0
21,pic/3.png,baseline,['num_3'],1.0,'num_3',0.451369404793,0.45136940479278564,0.0,2.0
22,pic/4.png,baseline,['num_4'],1.0,'num_4',0.434910088778,0.4349100887775421,0.0,24.0
23,pic/5.png,baseline,['num_5'],1.0,'num_5',0.4515145123,0.45151451230049133,0.0,26.0
24,pic/6.png,baseline,['num_6'],1.0,'num_6',0.451386511326,0.4513865113258362,0.0,11.0
25,pic/7.png,baseline,['num_7'],1.0,'num_7',0.485192388296,0.4851923882961273,0.0,12.0
26,pic/8.png,baseline,['num_8'],1.0,'num_8',0.635061383247,0.6350613832473755,0.0,21.0
27,pic/9.png,baseline,['num_9'],1.0,'num_9',0.568080604076,0.5680806040763855,0.0,25.0

extraInfo
date,2019_May_08_1514
frameRate,59.9526134564
expName,click_exp
session,001
participant,161158003
